Model,Asset,Accuracy,What
MLPClassifier,BTCUSDT_1h,0.5204322811812572,F1 VALIDATION
MLPClassifier,BTCUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1h,"{1: 0.5079365079365079, 0: 0.49206349206349204}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1h,0.515808697637256,FINAL TEST
MLPClassifier,BTCUSDT_1h,0.5141817168934663,F1 FINAL TEST
MLPClassifier,BTCUSDT_1h,"{1: 0.5111288665677434, 0: 0.4888711334322566}",DESBALANCEO REAL
MLPClassifier,BTCUSDT_1h,"{0: 0.5689989727200091, 1: 0.43100102727999084}",DESBALANCEO PREDICCIÓN
MLPClassifier,ETHUSDT_1h,0.4996030346909809,F1 VALIDATION
MLPClassifier,ETHUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1h,"{0: 0.5158730158730159, 1: 0.48412698412698413}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1h,0.5237986531217897,FINAL TEST
MLPClassifier,ETHUSDT_1h,0.5237249300394407,F1 FINAL TEST
MLPClassifier,ETHUSDT_1h,"{1: 0.5079328843739299, 0: 0.4920671156260701}",DESBALANCEO REAL
MLPClassifier,ETHUSDT_1h,"{0: 0.520374386485561, 1: 0.479625613514439}",DESBALANCEO PREDICCIÓN
MLPClassifier,XRPUSDT_1h,0.39494535464657454,F1 VALIDATION
MLPClassifier,XRPUSDT_1h,"{1: 0.5476190476190477, 0: 0.4523809523809524}",DESBALANCEO REAL VAL
MLPClassifier,XRPUSDT_1h,"{1: 0.7142857142857143, 0: 0.2857142857142857}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,XRPUSDT_1h,0.509416733249629,FINAL TEST
MLPClassifier,XRPUSDT_1h,0.4076732835244269,F1 FINAL TEST
MLPClassifier,XRPUSDT_1h,"{1: 0.502454057755964, 0: 0.4975459422440361}",DESBALANCEO REAL
MLPClassifier,XRPUSDT_1h,"{0: 0.9169044629608493, 1: 0.08309553703915078}",DESBALANCEO PREDICCIÓN
MLPClassifier,BNBUSDT_1h,0.44073650964247735,F1 VALIDATION
MLPClassifier,BNBUSDT_1h,"{1: 0.5158730158730159, 0: 0.48412698412698413}",DESBALANCEO REAL VAL
MLPClassifier,BNBUSDT_1h,"{0: 0.9444444444444444, 1: 0.05555555555555555}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BNBUSDT_1h,0.5035954799680402,FINAL TEST
