Model,Asset,Accuracy,What
MLPClassifier,BTCUSDT_1d,0.3784200073825395,F1 VALIDATION
MLPClassifier,BTCUSDT_1d,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1d,"{0: 0.8266666666666667, 1: 0.17333333333333334}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1d,0.5628415300546448,FINAL TEST
MLPClassifier,BTCUSDT_1d,0.36013986013986016,F1 FINAL TEST
MLPClassifier,BTCUSDT_1d,"{1: 0.5628415300546448, 0: 0.4371584699453552}",DESBALANCEO REAL
MLPClassifier,BTCUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,ETHUSDT_1d,0.40702101005470037,F1 VALIDATION
MLPClassifier,ETHUSDT_1d,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1d,"{0: 0.8533333333333334, 1: 0.14666666666666667}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1d,0.5245901639344263,FINAL TEST
MLPClassifier,ETHUSDT_1d,0.514010989010989,F1 FINAL TEST
MLPClassifier,ETHUSDT_1d,"{1: 0.5136612021857924, 0: 0.48633879781420764}",DESBALANCEO REAL
MLPClassifier,ETHUSDT_1d,"{1: 0.6338797814207651, 0: 0.366120218579235}",DESBALANCEO PREDICCIÓN
MLPClassifier,XRPUSDT_1d,0.3752537783511761,F1 VALIDATION
MLPClassifier,XRPUSDT_1d,"{1: 0.6, 0: 0.4}",DESBALANCEO REAL VAL
MLPClassifier,XRPUSDT_1d,"{0: 0.84, 1: 0.16}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,XRPUSDT_1d,0.47540983606557374,FINAL TEST
MLPClassifier,XRPUSDT_1d,0.36607368383069316,F1 FINAL TEST
MLPClassifier,XRPUSDT_1d,"{0: 0.505464480874317, 1: 0.49453551912568305}",DESBALANCEO REAL
MLPClassifier,XRPUSDT_1d,"{1: 0.9207650273224044, 0: 0.07923497267759563}",DESBALANCEO PREDICCIÓN
MLPClassifier,BNBUSDT_1d,0.4476328447608635,F1 VALIDATION
MLPClassifier,BNBUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,BNBUSDT_1d,"{1: 0.9466666666666667, 0: 0.05333333333333334}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BNBUSDT_1d,0.5491803278688525,FINAL TEST
MLPClassifier,BNBUSDT_1d,0.49786724537903165,F1 FINAL TEST
MLPClassifier,BNBUSDT_1d,"{1: 0.5382513661202186, 0: 0.46174863387978143}",DESBALANCEO REAL
MLPClassifier,BNBUSDT_1d,"{1: 0.7814207650273224, 0: 0.2185792349726776}",DESBALANCEO PREDICCIÓN
MLPClassifier,SOLUSDT_1d,0.3404201050262566,F1 VALIDATION
MLPClassifier,SOLUSDT_1d,"{1: 0.8533333333333334, 0: 0.14666666666666667}",DESBALANCEO REAL VAL
MLPClassifier,SOLUSDT_1d,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,SOLUSDT_1d,0.5136612021857924,FINAL TEST
MLPClassifier,SOLUSDT_1d,0.33935018050541516,F1 FINAL TEST
MLPClassifier,SOLUSDT_1d,"{1: 0.5136612021857924, 0: 0.48633879781420764}",DESBALANCEO REAL
MLPClassifier,SOLUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,ADAUSDT_1d,0.48194545590586735,F1 VALIDATION
MLPClassifier,ADAUSDT_1d,"{1: 0.8, 0: 0.2}",DESBALANCEO REAL VAL
MLPClassifier,ADAUSDT_1d,"{0: 0.8933333333333333, 1: 0.10666666666666667}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ADAUSDT_1d,0.4426229508196721,FINAL TEST
MLPClassifier,ADAUSDT_1d,0.43367718446601944,F1 FINAL TEST
MLPClassifier,ADAUSDT_1d,"{0: 0.5409836065573771, 1: 0.45901639344262296}",DESBALANCEO REAL
MLPClassifier,ADAUSDT_1d,"{1: 0.6666666666666666, 0: 0.3333333333333333}",DESBALANCEO PREDICCIÓN
MLPClassifier,TRXUSDT_1d,0.5207043346816398,F1 VALIDATION
MLPClassifier,TRXUSDT_1d,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
MLPClassifier,TRXUSDT_1d,"{1: 0.8133333333333334, 0: 0.18666666666666668}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,TRXUSDT_1d,0.6065573770491803,FINAL TEST
MLPClassifier,TRXUSDT_1d,0.4528239202657808,F1 FINAL TEST
MLPClassifier,TRXUSDT_1d,"{1: 0.6010928961748634, 0: 0.3989071038251366}",DESBALANCEO REAL
MLPClassifier,TRXUSDT_1d,"{1: 0.9289617486338798, 0: 0.07103825136612021}",DESBALANCEO PREDICCIÓN
MLPClassifier,LINKUSDT_1d,0.3410479618755023,F1 VALIDATION
MLPClassifier,LINKUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,LINKUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,LINKUSDT_1d,0.49453551912568305,FINAL TEST
MLPClassifier,LINKUSDT_1d,0.33089579524680074,F1 FINAL TEST
MLPClassifier,LINKUSDT_1d,"{0: 0.505464480874317, 1: 0.49453551912568305}",DESBALANCEO REAL
MLPClassifier,LINKUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,AVAXUSDT_1d,0.37301771310263593,F1 VALIDATION
MLPClassifier,AVAXUSDT_1d,"{1: 0.84, 0: 0.16}",DESBALANCEO REAL VAL
MLPClassifier,AVAXUSDT_1d,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,AVAXUSDT_1d,0.5081967213114754,FINAL TEST
MLPClassifier,AVAXUSDT_1d,0.47186147186147187,F1 FINAL TEST
MLPClassifier,AVAXUSDT_1d,"{0: 0.5245901639344263, 1: 0.47540983606557374}",DESBALANCEO REAL
MLPClassifier,AVAXUSDT_1d,"{0: 0.7377049180327869, 1: 0.26229508196721313}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,BTCUSDT_1d,0.44209092282798884,F1 VALIDATION
RandomForestClassifier,BTCUSDT_1d,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
RandomForestClassifier,BTCUSDT_1d,"{1: 0.52, 0: 0.48}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,BTCUSDT_1d,0.4808743169398907,FINAL TEST
RandomForestClassifier,BTCUSDT_1d,0.4684299036844519,F1 FINAL TEST
RandomForestClassifier,BTCUSDT_1d,"{1: 0.5628415300546448, 0: 0.4371584699453552}",DESBALANCEO REAL
RandomForestClassifier,BTCUSDT_1d,"{0: 0.7158469945355191, 1: 0.28415300546448086}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,ETHUSDT_1d,0.42172713875185047,F1 VALIDATION
RandomForestClassifier,ETHUSDT_1d,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
RandomForestClassifier,ETHUSDT_1d,"{0: 0.76, 1: 0.24}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,ETHUSDT_1d,0.4918032786885246,FINAL TEST
RandomForestClassifier,ETHUSDT_1d,0.49178810320114663,F1 FINAL TEST
