Frequency,Asset,Model,Accuracy,Vald/Test
1h,BTCUSDT_1h,MLPClassifier,0.3951604424636682,F1 VALIDATION
1h,BTCUSDT_1h,MLPClassifier,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO REAL VAL
1h,BTCUSDT_1h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
1h,BTCUSDT_1h,MLPClassifier,0.5288209108549252,FINAL TEST
1h,BTCUSDT_1h,MLPClassifier,0.3459011497685531,F1 FINAL TEST
1h,BTCUSDT_1h,MLPClassifier,"{1: 0.5288209108549252, 0: 0.4711790891450748}",DESBALANCEO REAL
1h,BTCUSDT_1h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN
1h,ETHUSDT_1h,MLPClassifier,0.4600582643047284,F1 VALIDATION
1h,ETHUSDT_1h,MLPClassifier,"{0: 0.5416666666666666, 1: 0.4583333333333333}",DESBALANCEO REAL VAL
1h,ETHUSDT_1h,MLPClassifier,"{1: 0.5416666666666666, 0: 0.4583333333333333}",DESBALANCEO PREDICCIÓN VAL
1h,ETHUSDT_1h,MLPClassifier,0.5073621732678918,FINAL TEST
1h,ETHUSDT_1h,MLPClassifier,0.4933099314398489,F1 FINAL TEST
1h,ETHUSDT_1h,MLPClassifier,"{1: 0.5111288665677434, 0: 0.4888711334322566}",DESBALANCEO REAL
1h,ETHUSDT_1h,MLPClassifier,"{0: 0.6776623673096679, 1: 0.32233763269033217}",DESBALANCEO PREDICCIÓN
1h,XRPUSDT_1h,MLPClassifier,0.50236791584595,F1 VALIDATION
1h,XRPUSDT_1h,MLPClassifier,"{0: 0.5583333333333333, 1: 0.44166666666666665}",DESBALANCEO REAL VAL
1h,XRPUSDT_1h,MLPClassifier,"{1: 0.5833333333333334, 0: 0.4166666666666667}",DESBALANCEO PREDICCIÓN VAL
1h,XRPUSDT_1h,MLPClassifier,0.521287524255222,FINAL TEST
1h,XRPUSDT_1h,MLPClassifier,0.5198999180487234,F1 FINAL TEST
1h,XRPUSDT_1h,MLPClassifier,"{1: 0.5010843511014724, 0: 0.4989156488985276}",DESBALANCEO REAL
1h,XRPUSDT_1h,MLPClassifier,"{0: 0.5548453372902636, 1: 0.4451546627097363}",DESBALANCEO PREDICCIÓN
1h,BNBUSDT_1h,MLPClassifier,0.4520273724705623,F1 VALIDATION
1h,BNBUSDT_1h,MLPClassifier,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO REAL VAL
1h,BNBUSDT_1h,MLPClassifier,"{1: 0.9166666666666666, 0: 0.08333333333333333}",DESBALANCEO PREDICCIÓN VAL
1h,BNBUSDT_1h,MLPClassifier,0.4760872046570026,FINAL TEST
1h,BNBUSDT_1h,MLPClassifier,0.3272323651285675,F1 FINAL TEST
1h,BNBUSDT_1h,MLPClassifier,"{1: 0.5252825019974888, 0: 0.4747174980025111}",DESBALANCEO REAL
1h,BNBUSDT_1h,MLPClassifier,"{0: 0.9956625955941103, 1: 0.004337404405889739}",DESBALANCEO PREDICCIÓN
1h,SOLUSDT_1h,MLPClassifier,0.43896376701262696,F1 VALIDATION
1h,SOLUSDT_1h,MLPClassifier,"{1: 0.5083333333333333, 0: 0.49166666666666664}",DESBALANCEO REAL VAL
1h,SOLUSDT_1h,MLPClassifier,"{1: 0.7666666666666667, 0: 0.23333333333333334}",DESBALANCEO PREDICCIÓN VAL
1h,SOLUSDT_1h,MLPClassifier,0.5091884488072138,FINAL TEST
1h,SOLUSDT_1h,MLPClassifier,0.41257556059355216,F1 FINAL TEST
1h,SOLUSDT_1h,MLPClassifier,"{1: 0.5071338888254765, 0: 0.49286611117452345}",DESBALANCEO REAL
1h,SOLUSDT_1h,MLPClassifier,"{0: 0.9126812007761671, 1: 0.0873187992238329}",DESBALANCEO PREDICCIÓN
