Frequency,Asset,Model,Value,What
1h,BTCUSDT_1h,MLPClassifier,0.4202326351581285,F1 VALIDATION
1h,BTCUSDT_1h,MLPClassifier,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO REAL VAL
1h,BTCUSDT_1h,MLPClassifier,"{1: 0.6916666666666667, 0: 0.30833333333333335}",DESBALANCEO PREDICCIÓN VAL
1h,BTCUSDT_1h,MLPClassifier,0.3843072622934665,F1 VALIDATION
1h,BTCUSDT_1h,MLPClassifier,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO REAL VAL
1h,BTCUSDT_1h,MLPClassifier,"{1: 0.6416666666666667, 0: 0.35833333333333334}",DESBALANCEO PREDICCIÓN VAL
1h,BTCUSDT_1h,MLPClassifier,0.3399401053233423,F1 VALIDATION
1h,BTCUSDT_1h,MLPClassifier,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO REAL VAL
1h,BTCUSDT_1h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
1h,BTCUSDT_1h,MLPClassifier,0.4064901241848423,F1 VALIDATION
1h,BTCUSDT_1h,MLPClassifier,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO REAL VAL
1h,BTCUSDT_1h,MLPClassifier,"{1: 0.7833333333333333, 0: 0.21666666666666667}",DESBALANCEO PREDICCIÓN VAL
1h,BTCUSDT_1h,MLPClassifier,0.4606551930156913,F1 VALIDATION
1h,BTCUSDT_1h,MLPClassifier,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO REAL VAL
1h,BTCUSDT_1h,MLPClassifier,"{1: 0.675, 0: 0.325}",DESBALANCEO PREDICCIÓN VAL
1h,BTCUSDT_1h,MLPClassifier,0.33967919119204654,F1 VALIDATION
1h,BTCUSDT_1h,MLPClassifier,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO REAL VAL
1h,BTCUSDT_1h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
1h,BTCUSDT_1h,MLPClassifier,0.4220255449097031,F1 VALIDATION
1h,BTCUSDT_1h,MLPClassifier,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO REAL VAL
1h,BTCUSDT_1h,MLPClassifier,"{1: 0.9333333333333333, 0: 0.06666666666666667}",DESBALANCEO PREDICCIÓN VAL
1h,BTCUSDT_1h,MLPClassifier,0.4636244571803962,F1 VALIDATION
1h,BTCUSDT_1h,MLPClassifier,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO REAL VAL
1h,BTCUSDT_1h,MLPClassifier,"{1: 0.8333333333333334, 0: 0.16666666666666666}",DESBALANCEO PREDICCIÓN VAL
1h,BTCUSDT_1h,MLPClassifier,0.3399401053233423,F1 VALIDATION
1h,BTCUSDT_1h,MLPClassifier,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO REAL VAL
1h,BTCUSDT_1h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
1h,BTCUSDT_1h,MLPClassifier,0.48633041732443044,F1 VALIDATION
1h,BTCUSDT_1h,MLPClassifier,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO REAL VAL
1h,BTCUSDT_1h,MLPClassifier,"{1: 0.8916666666666667, 0: 0.10833333333333334}",DESBALANCEO PREDICCIÓN VAL
1h,BTCUSDT_1h,MLPClassifier,0.5288209108549252,FINAL TEST
1h,BTCUSDT_1h,MLPClassifier,0.3459011497685531,F1 FINAL TEST
1h,BTCUSDT_1h,MLPClassifier,"{1: 0.5288209108549252, 0: 0.4711790891450748}",DESBALANCEO REAL
1h,BTCUSDT_1h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN
1h,ETHUSDT_1h,MLPClassifier,0.46199458753618095,F1 VALIDATION
1h,ETHUSDT_1h,MLPClassifier,"{0: 0.5416666666666666, 1: 0.4583333333333333}",DESBALANCEO REAL VAL
1h,ETHUSDT_1h,MLPClassifier,"{1: 0.9916666666666667, 0: 0.008333333333333333}",DESBALANCEO PREDICCIÓN VAL
1h,ETHUSDT_1h,MLPClassifier,0.48136709462921556,F1 VALIDATION
1h,ETHUSDT_1h,MLPClassifier,"{0: 0.5416666666666666, 1: 0.4583333333333333}",DESBALANCEO REAL VAL
1h,ETHUSDT_1h,MLPClassifier,"{1: 0.5583333333333333, 0: 0.44166666666666665}",DESBALANCEO PREDICCIÓN VAL
1h,ETHUSDT_1h,MLPClassifier,0.43084823509918274,F1 VALIDATION
1h,ETHUSDT_1h,MLPClassifier,"{0: 0.5416666666666666, 1: 0.4583333333333333}",DESBALANCEO REAL VAL
1h,ETHUSDT_1h,MLPClassifier,"{1: 0.8333333333333334, 0: 0.16666666666666666}",DESBALANCEO PREDICCIÓN VAL
1h,ETHUSDT_1h,MLPClassifier,0.5205955162165731,F1 VALIDATION
1h,ETHUSDT_1h,MLPClassifier,"{0: 0.5416666666666666, 1: 0.4583333333333333}",DESBALANCEO REAL VAL
1h,ETHUSDT_1h,MLPClassifier,"{1: 0.6416666666666667, 0: 0.35833333333333334}",DESBALANCEO PREDICCIÓN VAL
1h,ETHUSDT_1h,MLPClassifier,0.48173718663167386,F1 VALIDATION
1h,ETHUSDT_1h,MLPClassifier,"{0: 0.5416666666666666, 1: 0.4583333333333333}",DESBALANCEO REAL VAL
1h,ETHUSDT_1h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
1h,ETHUSDT_1h,MLPClassifier,0.46246820566099534,F1 VALIDATION
1h,ETHUSDT_1h,MLPClassifier,"{0: 0.5416666666666666, 1: 0.4583333333333333}",DESBALANCEO REAL VAL
1h,ETHUSDT_1h,MLPClassifier,"{1: 0.9833333333333333, 0: 0.016666666666666666}",DESBALANCEO PREDICCIÓN VAL
1h,ETHUSDT_1h,MLPClassifier,0.41489511924447475,F1 VALIDATION
1h,ETHUSDT_1h,MLPClassifier,"{0: 0.5416666666666666, 1: 0.4583333333333333}",DESBALANCEO REAL VAL
1h,ETHUSDT_1h,MLPClassifier,"{1: 0.7833333333333333, 0: 0.21666666666666667}",DESBALANCEO PREDICCIÓN VAL
1h,ETHUSDT_1h,MLPClassifier,0.5245732856707971,F1 VALIDATION
1h,ETHUSDT_1h,MLPClassifier,"{0: 0.5416666666666666, 1: 0.4583333333333333}",DESBALANCEO REAL VAL
1h,ETHUSDT_1h,MLPClassifier,"{1: 0.6166666666666667, 0: 0.38333333333333336}",DESBALANCEO PREDICCIÓN VAL
1h,ETHUSDT_1h,MLPClassifier,0.4472529284181103,F1 VALIDATION
1h,ETHUSDT_1h,MLPClassifier,"{0: 0.5416666666666666, 1: 0.4583333333333333}",DESBALANCEO REAL VAL
1h,ETHUSDT_1h,MLPClassifier,"{1: 0.5166666666666667, 0: 0.48333333333333334}",DESBALANCEO PREDICCIÓN VAL
1h,ETHUSDT_1h,MLPClassifier,0.5048795133797548,F1 VALIDATION
