Model,Asset,Value,What
MLPClassifier,BTCUSDT_1d,0.4062979346824682,F1 VALIDATION
MLPClassifier,BTCUSDT_1d,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1d,"{1: 0.9733333333333334, 0: 0.02666666666666667}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1d,0.4073640338935808,F1 VALIDATION
MLPClassifier,BTCUSDT_1d,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1d,"{1: 0.8133333333333334, 0: 0.18666666666666668}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1d,0.35971982991423773,F1 VALIDATION
MLPClassifier,BTCUSDT_1d,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1d,0.3578114150413969,F1 VALIDATION
MLPClassifier,BTCUSDT_1d,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1d,"{1: 0.9866666666666667, 0: 0.013333333333333334}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1d,0.42188160531292934,F1 VALIDATION
MLPClassifier,BTCUSDT_1d,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1d,"{1: 0.8533333333333334, 0: 0.14666666666666667}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1d,0.37695316792920447,F1 VALIDATION
MLPClassifier,BTCUSDT_1d,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1d,"{1: 0.9333333333333333, 0: 0.06666666666666667}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1d,0.38505357012754343,F1 VALIDATION
MLPClassifier,BTCUSDT_1d,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1d,"{1: 0.9466666666666667, 0: 0.05333333333333334}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1d,0.35366366002112837,F1 VALIDATION
MLPClassifier,BTCUSDT_1d,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1d,"{1: 0.5866666666666667, 0: 0.41333333333333333}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1d,0.4924063781228066,F1 VALIDATION
MLPClassifier,BTCUSDT_1d,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1d,"{1: 0.6266666666666667, 0: 0.37333333333333335}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1d,0.33529007573135683,F1 VALIDATION
MLPClassifier,BTCUSDT_1d,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1d,"{0: 0.8666666666666667, 1: 0.13333333333333333}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1d,0.5136612021857924,FINAL TEST
MLPClassifier,BTCUSDT_1d,0.4274817210348706,F1 FINAL TEST
MLPClassifier,BTCUSDT_1d,"{1: 0.5628415300546448, 0: 0.4371584699453552}",DESBALANCEO REAL
MLPClassifier,BTCUSDT_1d,"{1: 0.825136612021858, 0: 0.17486338797814208}",DESBALANCEO PREDICCIÓN
MLPClassifier,ETHUSDT_1d,0.34003890655492486,F1 VALIDATION
MLPClassifier,ETHUSDT_1d,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1d,"{0: 0.84, 1: 0.16}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1d,0.3352210862923809,F1 VALIDATION
MLPClassifier,ETHUSDT_1d,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1d,0.36250938948044203,F1 VALIDATION
MLPClassifier,ETHUSDT_1d,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1d,"{1: 0.9866666666666667, 0: 0.013333333333333334}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1d,0.37011237548340115,F1 VALIDATION
MLPClassifier,ETHUSDT_1d,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1d,"{1: 0.8266666666666667, 0: 0.17333333333333334}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1d,0.3613312539359013,F1 VALIDATION
MLPClassifier,ETHUSDT_1d,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1d,"{1: 0.84, 0: 0.16}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1d,0.3352210862923809,F1 VALIDATION
MLPClassifier,ETHUSDT_1d,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1d,0.43744451802474693,F1 VALIDATION
MLPClassifier,ETHUSDT_1d,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1d,"{1: 0.8, 0: 0.2}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1d,0.3352210862923809,F1 VALIDATION
MLPClassifier,ETHUSDT_1d,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1d,0.41164777446802214,F1 VALIDATION
MLPClassifier,ETHUSDT_1d,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1d,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1d,0.38772617394295267,F1 VALIDATION
MLPClassifier,ETHUSDT_1d,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1d,0.5,FINAL TEST
MLPClassifier,ETHUSDT_1d,0.48371630527784415,F1 FINAL TEST
MLPClassifier,ETHUSDT_1d,"{1: 0.5136612021857924, 0: 0.48633879781420764}",DESBALANCEO REAL
MLPClassifier,ETHUSDT_1d,"{1: 0.6639344262295082, 0: 0.3360655737704918}",DESBALANCEO PREDICCIÓN
MLPClassifier,XRPUSDT_1d,0.4336378184165344,F1 VALIDATION
MLPClassifier,XRPUSDT_1d,"{1: 0.6, 0: 0.4}",DESBALANCEO REAL VAL
MLPClassifier,XRPUSDT_1d,"{0: 0.8933333333333333, 1: 0.10666666666666667}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,XRPUSDT_1d,0.40993439011922767,F1 VALIDATION
MLPClassifier,XRPUSDT_1d,"{1: 0.6, 0: 0.4}",DESBALANCEO REAL VAL
