Frequency,Asset,Model,Value,What
1h,global,RandomForestClassifier,0.5182319223985891,ACC VALIDATION
1h,global,RandomForestClassifier,0.5168326782487951,F1 VALIDATION
1h,global,RandomForestClassifier,"{1: 0.5352733686067019, 0: 0.46472663139329806}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{0: 0.562610229276896, 1: 0.43738977072310403}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.5164241622574955,ACC VALIDATION
1h,global,RandomForestClassifier,0.5151778691426807,F1 VALIDATION
1h,global,RandomForestClassifier,"{1: 0.5352733686067019, 0: 0.46472663139329806}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{0: 0.5590828924162258, 1: 0.4409171075837742}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.5136463844797178,ACC VALIDATION
1h,global,RandomForestClassifier,0.5126172038653204,F1 VALIDATION
1h,global,RandomForestClassifier,"{1: 0.5352733686067019, 0: 0.46472663139329806}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{0: 0.5520282186948854, 1: 0.4479717813051146}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.5067239858906525,ACC VALIDATION
1h,global,RandomForestClassifier,0.5062162275559936,F1 VALIDATION
1h,global,RandomForestClassifier,"{1: 0.5352733686067019, 0: 0.46472663139329806}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{0: 0.5379188712522046, 1: 0.4620811287477954}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.509104938271605,ACC VALIDATION
1h,global,RandomForestClassifier,0.5075951670173973,F1 VALIDATION
1h,global,RandomForestClassifier,"{1: 0.5352733686067019, 0: 0.46472663139329806}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{0: 0.5529100529100529, 1: 0.4470899470899471}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.5073192239858907,ACC VALIDATION
1h,global,RandomForestClassifier,0.5070279286256618,F1 VALIDATION
1h,global,RandomForestClassifier,"{1: 0.5352733686067019, 0: 0.46472663139329806}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{0: 0.5379188712522046, 1: 0.4620811287477954}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.5056216931216931,ACC VALIDATION
1h,global,RandomForestClassifier,0.5049254367055978,F1 VALIDATION
1h,global,RandomForestClassifier,"{1: 0.5352733686067019, 0: 0.46472663139329806}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{0: 0.5661375661375662, 1: 0.43386243386243384}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.5086860670194003,ACC VALIDATION
1h,global,RandomForestClassifier,0.5079421821230357,F1 VALIDATION
1h,global,RandomForestClassifier,"{1: 0.5352733686067019, 0: 0.46472663139329806}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{0: 0.5520282186948854, 1: 0.4479717813051146}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.508531746031746,ACC VALIDATION
1h,global,RandomForestClassifier,0.50769345161561,F1 VALIDATION
1h,global,RandomForestClassifier,"{1: 0.5352733686067019, 0: 0.46472663139329806}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{0: 0.5476190476190477, 1: 0.4523809523809524}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.5065696649029983,ACC VALIDATION
1h,global,RandomForestClassifier,0.5059063501858662,F1 VALIDATION
1h,global,RandomForestClassifier,"{1: 0.5352733686067019, 0: 0.46472663139329806}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{0: 0.5485008818342152, 1: 0.4514991181657848}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.5133482986467806,ACC FINAL TEST
1h,global,RandomForestClassifier,0.5118051909397818,F1 FINAL TEST
1h,ADAUSDT_1h,RandomForestClassifier,0.5171784042917476,ACC CRYPTO TEST
1h,ADAUSDT_1h,RandomForestClassifier,0.5160395179094617,F1 CRYPTO TEST
1h,ADAUSDT_1h,RandomForestClassifier,"{0: 0.5064490354982308, 1: 0.4935509645017692}",DESBALANCEO REAL
1h,ADAUSDT_1h,RandomForestClassifier,"{0: 0.5420614085150097, 1: 0.4579385914849903}",DESBALANCEO PREDICCIÓN
1h,AVAXUSDT_1h,RandomForestClassifier,0.5025681999771715,ACC CRYPTO TEST
1h,AVAXUSDT_1h,RandomForestClassifier,0.5000073073002077,F1 CRYPTO TEST
1h,AVAXUSDT_1h,RandomForestClassifier,"{0: 0.5135258532131035, 1: 0.4864741467868965}",DESBALANCEO REAL
1h,AVAXUSDT_1h,RandomForestClassifier,"{0: 0.5580413194840772, 1: 0.44195868051592285}",DESBALANCEO PREDICCIÓN
1h,BNBUSDT_1h,RandomForestClassifier,0.5131834265494807,ACC CRYPTO TEST
1h,BNBUSDT_1h,RandomForestClassifier,0.5097798973871412,F1 CRYPTO TEST
1h,BNBUSDT_1h,RandomForestClassifier,"{1: 0.5145531332039721, 0: 0.48544686679602783}",DESBALANCEO REAL
1h,BNBUSDT_1h,RandomForestClassifier,"{0: 0.5978769546855381, 1: 0.4021230453144618}",DESBALANCEO PREDICCIÓN
1h,BTCUSDT_1h,RandomForestClassifier,0.5151238443100102,ACC CRYPTO TEST
1h,BTCUSDT_1h,RandomForestClassifier,0.5112196637988332,F1 CRYPTO TEST
1h,BTCUSDT_1h,RandomForestClassifier,"{1: 0.5111288665677434, 0: 0.4888711334322566}",DESBALANCEO REAL
1h,BTCUSDT_1h,RandomForestClassifier,"{0: 0.6005022257733136, 1: 0.3994977742266865}",DESBALANCEO PREDICCIÓN
1h,ETHUSDT_1h,RandomForestClassifier,0.5275653464216413,ACC CRYPTO TEST
1h,ETHUSDT_1h,RandomForestClassifier,0.5249826871495715,F1 CRYPTO TEST
1h,ETHUSDT_1h,RandomForestClassifier,"{1: 0.5079328843739299, 0: 0.4920671156260701}",DESBALANCEO REAL
1h,ETHUSDT_1h,RandomForestClassifier,"{0: 0.5816687592740555, 1: 0.4183312407259445}",DESBALANCEO PREDICCIÓN
1h,LINKUSDT_1h,RandomForestClassifier,0.5178632576189932,ACC CRYPTO TEST
1h,LINKUSDT_1h,RandomForestClassifier,0.517262747385717,F1 CRYPTO TEST
1h,LINKUSDT_1h,RandomForestClassifier,"{0: 0.5116995776737815, 1: 0.48830042232621845}",DESBALANCEO REAL
