Model,Asset,Accuracy,What
MLPClassifier,global,0.4871604938271605,ACC VALIDATION
MLPClassifier,global,0.4085135785768053,F1 VALIDATION
MLPClassifier,global,"{1: 0.7437037037037038, 0: 0.2562962962962963}",DESBALANCEO REAL VAL
MLPClassifier,global,"{1: 0.8814814814814815, 0: 0.11851851851851852}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,global,0.5109289617486339,ACC FINAL TEST
MLPClassifier,global,0.5054407598415176,F1 FINAL TEST
MLPClassifier,ADAUSDT_1d,0.5491803278688525,ACC CRYPTO TEST
MLPClassifier,ADAUSDT_1d,0.4652486916789898,F1 CRYPTO TEST
MLPClassifier,ADAUSDT_1d,"{0: 0.5409836065573771, 1: 0.45901639344262296}",DESBALANCEO REAL
MLPClassifier,ADAUSDT_1d,"{0: 0.855191256830601, 1: 0.1448087431693989}",DESBALANCEO PREDICCIÓN
MLPClassifier,AVAXUSDT_1d,0.4890710382513661,ACC CRYPTO TEST
MLPClassifier,AVAXUSDT_1d,0.44873746526519276,F1 CRYPTO TEST
MLPClassifier,AVAXUSDT_1d,"{0: 0.5245901639344263, 1: 0.47540983606557374}",DESBALANCEO REAL
MLPClassifier,AVAXUSDT_1d,"{0: 0.7459016393442623, 1: 0.2540983606557377}",DESBALANCEO PREDICCIÓN
MLPClassifier,BNBUSDT_1d,0.4972677595628415,ACC CRYPTO TEST
MLPClassifier,BNBUSDT_1d,0.41395154553049285,F1 CRYPTO TEST
MLPClassifier,BNBUSDT_1d,"{1: 0.5382513661202186, 0: 0.46174863387978143}",DESBALANCEO REAL
MLPClassifier,BNBUSDT_1d,"{1: 0.8387978142076503, 0: 0.16120218579234974}",DESBALANCEO PREDICCIÓN
MLPClassifier,BTCUSDT_1d,0.5218579234972678,ACC CRYPTO TEST
MLPClassifier,BTCUSDT_1d,0.42377760784490126,F1 CRYPTO TEST
MLPClassifier,BTCUSDT_1d,"{1: 0.5628415300546448, 0: 0.4371584699453552}",DESBALANCEO REAL
