Model,Asset,Accuracy,What
MLPClassifier,global,0.4716304810557684,ACC VALIDATION
MLPClassifier,global,0.3165912414790844,F1 VALIDATION
MLPClassifier,global,"{0: 0.5517241379310345, 1: 0.4482758620689655}",DESBALANCEO REAL VAL
MLPClassifier,global,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,global,0.49201277955271566,ACC FINAL TEST
MLPClassifier,global,0.3297644539614561,F1 FINAL TEST
MLPClassifier,ADAUSDT_4h,0.5203103605659516,ACC CRYPTO TEST
MLPClassifier,ADAUSDT_4h,0.34223956769738817,F1 CRYPTO TEST
MLPClassifier,ADAUSDT_4h,"{0: 0.5203103605659516, 1: 0.47968963943404835}",DESBALANCEO REAL
MLPClassifier,ADAUSDT_4h,{0: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,AVAXUSDT_4h,0.5376540392514834,ACC CRYPTO TEST
MLPClassifier,AVAXUSDT_4h,0.3496586524191155,F1 CRYPTO TEST
MLPClassifier,AVAXUSDT_4h,"{0: 0.5376540392514834, 1: 0.46234596074851664}",DESBALANCEO REAL
MLPClassifier,AVAXUSDT_4h,{0: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,BNBUSDT_4h,0.46325878594249204,ACC CRYPTO TEST
MLPClassifier,BNBUSDT_4h,0.3165938864628821,F1 CRYPTO TEST
MLPClassifier,BNBUSDT_4h,"{1: 0.536741214057508, 0: 0.46325878594249204}",DESBALANCEO REAL
MLPClassifier,BNBUSDT_4h,{0: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,BTCUSDT_4h,0.46097672295755365,ACC CRYPTO TEST
MLPClassifier,BTCUSDT_4h,0.3155263980006248,F1 CRYPTO TEST
MLPClassifier,BTCUSDT_4h,"{1: 0.5390232770424463, 0: 0.46097672295755365}",DESBALANCEO REAL
MLPClassifier,BTCUSDT_4h,{0: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,ETHUSDT_4h,0.47740757644910997,ACC CRYPTO TEST
MLPClassifier,ETHUSDT_4h,0.32313870868087735,F1 CRYPTO TEST
MLPClassifier,ETHUSDT_4h,"{1: 0.52259242355089, 0: 0.47740757644910997}",DESBALANCEO REAL
MLPClassifier,ETHUSDT_4h,{0: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,LINKUSDT_4h,0.5143769968051118,ACC CRYPTO TEST
MLPClassifier,LINKUSDT_4h,0.339662447257384,F1 CRYPTO TEST
MLPClassifier,LINKUSDT_4h,"{0: 0.5143769968051118, 1: 0.48562300319488816}",DESBALANCEO REAL
MLPClassifier,LINKUSDT_4h,{0: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,SOLUSDT_4h,0.49612049292560473,ACC CRYPTO TEST
MLPClassifier,SOLUSDT_4h,0.33160463697376447,F1 CRYPTO TEST
MLPClassifier,SOLUSDT_4h,"{1: 0.5038795070743952, 0: 0.49612049292560473}",DESBALANCEO REAL
MLPClassifier,SOLUSDT_4h,{0: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,TRXUSDT_4h,0.4641716111364674,ACC CRYPTO TEST
MLPClassifier,TRXUSDT_4h,0.31701995012468825,F1 CRYPTO TEST
MLPClassifier,TRXUSDT_4h,"{1: 0.5358283888635327, 0: 0.4641716111364674}",DESBALANCEO REAL
MLPClassifier,TRXUSDT_4h,{0: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,XRPUSDT_4h,0.49383842994066635,ACC CRYPTO TEST
MLPClassifier,XRPUSDT_4h,0.33058356248090437,F1 CRYPTO TEST
MLPClassifier,XRPUSDT_4h,"{1: 0.5061615700593336, 0: 0.49383842994066635}",DESBALANCEO REAL
MLPClassifier,XRPUSDT_4h,{0: 1.0},DESBALANCEO PREDICCIÓN
RandomForestClassifier,global,0.5187398893146019,ACC VALIDATION
RandomForestClassifier,global,0.5095674286908166,F1 VALIDATION
RandomForestClassifier,global,"{0: 0.5517241379310345, 1: 0.4482758620689655}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{1: 0.5134099616858238, 0: 0.48659003831417624}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5140727217404534,ACC FINAL TEST
RandomForestClassifier,global,0.5121963096543791,F1 FINAL TEST
RandomForestClassifier,ADAUSDT_4h,0.5285257873117298,ACC CRYPTO TEST
RandomForestClassifier,ADAUSDT_4h,0.5166098017041334,F1 CRYPTO TEST
RandomForestClassifier,ADAUSDT_4h,"{0: 0.5203103605659516, 1: 0.47968963943404835}",DESBALANCEO REAL
RandomForestClassifier,ADAUSDT_4h,"{0: 0.6366955727978092, 1: 0.3633044272021908}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,AVAXUSDT_4h,0.5312642628936559,ACC CRYPTO TEST
RandomForestClassifier,AVAXUSDT_4h,0.5229060162866401,F1 CRYPTO TEST
