Frequency,Asset,Model,Accuracy,Vald/Test
1h,global,MLPClassifier,0.5166137566137566,ACC VALIDATION
1h,global,MLPClassifier,0.3397041960762794,F1 VALIDATION
1h,global,MLPClassifier,"{0: 0.524074074074074, 1: 0.4759259259259259}",DESBALANCEO REAL VAL
1h,global,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
1h,global,MLPClassifier,0.5083260409136451,ACC FINAL TEST
1h,global,MLPClassifier,0.3370133692087783,F1 FINAL TEST
1h,ADAUSDT_1h,MLPClassifier,0.4885287067686337,ACC CRYPTO TEST
1h,ADAUSDT_1h,MLPClassifier,0.32819569051453107,F1 CRYPTO TEST
1h,ADAUSDT_1h,MLPClassifier,"{0: 0.5114712932313663, 1: 0.4885287067686337}",DESBALANCEO REAL
1h,ADAUSDT_1h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN
1h,AVAXUSDT_1h,MLPClassifier,0.48601757790206596,ACC CRYPTO TEST
1h,AVAXUSDT_1h,MLPClassifier,0.3270604501113757,F1 CRYPTO TEST
1h,AVAXUSDT_1h,MLPClassifier,"{0: 0.513982422097934, 1: 0.48601757790206596}",DESBALANCEO REAL
1h,AVAXUSDT_1h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN
1h,BNBUSDT_1h,MLPClassifier,0.5252825019974888,ACC CRYPTO TEST
1h,BNBUSDT_1h,MLPClassifier,0.34438374616478334,F1 CRYPTO TEST
1h,BNBUSDT_1h,MLPClassifier,"{1: 0.5252825019974888, 0: 0.4747174980025111}",DESBALANCEO REAL
1h,BNBUSDT_1h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN
1h,BTCUSDT_1h,MLPClassifier,0.5288209108549252,ACC CRYPTO TEST
1h,BTCUSDT_1h,MLPClassifier,0.3459011497685531,F1 CRYPTO TEST
1h,BTCUSDT_1h,MLPClassifier,"{1: 0.5288209108549252, 0: 0.4711790891450748}",DESBALANCEO REAL
1h,BTCUSDT_1h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN
1h,ETHUSDT_1h,MLPClassifier,0.5111288665677434,ACC CRYPTO TEST
1h,ETHUSDT_1h,MLPClassifier,0.3382430697182567,F1 CRYPTO TEST
1h,ETHUSDT_1h,MLPClassifier,"{1: 0.5111288665677434, 0: 0.4888711334322566}",DESBALANCEO REAL
1h,ETHUSDT_1h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN
1h,LINKUSDT_1h,MLPClassifier,0.4943499600502226,ACC CRYPTO TEST
1h,LINKUSDT_1h,MLPClassifier,0.33081271005194013,F1 CRYPTO TEST
1h,LINKUSDT_1h,MLPClassifier,"{0: 0.5056500399497774, 1: 0.4943499600502226}",DESBALANCEO REAL
1h,LINKUSDT_1h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN
1h,SOLUSDT_1h,MLPClassifier,0.5071338888254765,ACC CRYPTO TEST
1h,SOLUSDT_1h,MLPClassifier,0.3364889427446228,F1 CRYPTO TEST
1h,SOLUSDT_1h,MLPClassifier,"{1: 0.5071338888254765, 0: 0.49286611117452345}",DESBALANCEO REAL
1h,SOLUSDT_1h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN
1h,TRXUSDT_1h,MLPClassifier,0.5325876041547769,ACC CRYPTO TEST
1h,TRXUSDT_1h,MLPClassifier,0.347508751024056,F1 CRYPTO TEST
1h,TRXUSDT_1h,MLPClassifier,"{1: 0.5325876041547769, 0: 0.46741239584522315}",DESBALANCEO REAL
1h,TRXUSDT_1h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN
1h,XRPUSDT_1h,MLPClassifier,0.5010843511014724,ACC CRYPTO TEST
1h,XRPUSDT_1h,MLPClassifier,0.3338149190175652,F1 CRYPTO TEST
1h,XRPUSDT_1h,MLPClassifier,"{1: 0.5010843511014724, 0: 0.4989156488985276}",DESBALANCEO REAL
1h,XRPUSDT_1h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN
1h,global,RandomForestClassifier,0.5135185185185185,ACC VALIDATION
1h,global,RandomForestClassifier,0.5105863219668836,F1 VALIDATION
1h,global,RandomForestClassifier,"{0: 0.524074074074074, 1: 0.4759259259259259}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{0: 0.5074074074074074, 1: 0.4925925925925926}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.5108118048421667,ACC FINAL TEST
1h,global,RandomForestClassifier,0.5087671571300151,F1 FINAL TEST
1h,ADAUSDT_1h,RandomForestClassifier,0.5107864399041205,ACC CRYPTO TEST
1h,ADAUSDT_1h,RandomForestClassifier,0.5024355314679962,F1 CRYPTO TEST
1h,ADAUSDT_1h,RandomForestClassifier,"{0: 0.5114712932313663, 1: 0.4885287067686337}",DESBALANCEO REAL
1h,ADAUSDT_1h,RandomForestClassifier,"{0: 0.6180801278392878, 1: 0.38191987216071227}",DESBALANCEO PREDICCIÓN
1h,AVAXUSDT_1h,RandomForestClassifier,0.5083894532587604,ACC CRYPTO TEST
1h,AVAXUSDT_1h,RandomForestClassifier,0.501580385156924,F1 CRYPTO TEST
1h,AVAXUSDT_1h,RandomForestClassifier,"{0: 0.513982422097934, 1: 0.48601757790206596}",DESBALANCEO REAL
1h,AVAXUSDT_1h,RandomForestClassifier,"{0: 0.6028992124186736, 1: 0.39710078758132633}",DESBALANCEO PREDICCIÓN
1h,BNBUSDT_1h,RandomForestClassifier,0.5103298710192901,ACC CRYPTO TEST
1h,BNBUSDT_1h,RandomForestClassifier,0.5086583261432269,F1 CRYPTO TEST
1h,BNBUSDT_1h,RandomForestClassifier,"{1: 0.5252825019974888, 0: 0.4747174980025111}",DESBALANCEO REAL
1h,BNBUSDT_1h,RandomForestClassifier,"{0: 0.5836091770345851, 1: 0.4163908229654149}",DESBALANCEO PREDICCIÓN
1h,BTCUSDT_1h,RandomForestClassifier,0.5265380664307727,ACC CRYPTO TEST
1h,BTCUSDT_1h,RandomForestClassifier,0.5243883771637076,F1 CRYPTO TEST
1h,BTCUSDT_1h,RandomForestClassifier,"{1: 0.5288209108549252, 0: 0.4711790891450748}",DESBALANCEO REAL
1h,BTCUSDT_1h,RandomForestClassifier,"{0: 0.5960506791462162, 1: 0.4039493208537838}",DESBALANCEO PREDICCIÓN
1h,ETHUSDT_1h,RandomForestClassifier,0.5114712932313663,ACC CRYPTO TEST
1h,ETHUSDT_1h,RandomForestClassifier,0.5072907722750296,F1 CRYPTO TEST
1h,ETHUSDT_1h,RandomForestClassifier,"{1: 0.5111288665677434, 0: 0.4888711334322566}",DESBALANCEO REAL
1h,ETHUSDT_1h,RandomForestClassifier,"{0: 0.6032416390822966, 1: 0.39675836091770345}",DESBALANCEO PREDICCIÓN
1h,LINKUSDT_1h,RandomForestClassifier,0.49571966670471407,ACC CRYPTO TEST
1h,LINKUSDT_1h,RandomForestClassifier,0.4942454724983965,F1 CRYPTO TEST
1h,LINKUSDT_1h,RandomForestClassifier,"{0: 0.5056500399497774, 1: 0.4943499600502226}",DESBALANCEO REAL
1h,LINKUSDT_1h,RandomForestClassifier,"{0: 0.5483392306814291, 1: 0.45166076931857096}",DESBALANCEO PREDICCIÓN
1h,SOLUSDT_1h,RandomForestClassifier,0.5110147243465358,ACC CRYPTO TEST
1h,SOLUSDT_1h,RandomForestClassifier,0.5071981500165177,F1 CRYPTO TEST
1h,SOLUSDT_1h,RandomForestClassifier,"{1: 0.5071338888254765, 0: 0.49286611117452345}",DESBALANCEO REAL
1h,SOLUSDT_1h,RandomForestClassifier,"{0: 0.5951375413765552, 1: 0.40486245862344483}",DESBALANCEO PREDICCIÓN
1h,TRXUSDT_1h,RandomForestClassifier,0.508503595479968,ACC CRYPTO TEST
1h,TRXUSDT_1h,RandomForestClassifier,0.5040197876363612,F1 CRYPTO TEST
1h,TRXUSDT_1h,RandomForestClassifier,"{1: 0.5325876041547769, 0: 0.46741239584522315}",DESBALANCEO REAL
1h,TRXUSDT_1h,RandomForestClassifier,"{1: 0.5624928661111745, 0: 0.43750713388882545}",DESBALANCEO PREDICCIÓN
1h,XRPUSDT_1h,RandomForestClassifier,0.5145531332039721,ACC CRYPTO TEST
1h,XRPUSDT_1h,RandomForestClassifier,0.5121882780729503,F1 CRYPTO TEST
1h,XRPUSDT_1h,RandomForestClassifier,"{1: 0.5010843511014724, 0: 0.4989156488985276}",DESBALANCEO REAL
1h,XRPUSDT_1h,RandomForestClassifier,"{0: 0.5707111060381235, 1: 0.42928889396187647}",DESBALANCEO PREDICCIÓN
1h,global,GradientBoostingClassifier,0.5014814814814816,ACC VALIDATION
1h,global,GradientBoostingClassifier,0.5010544783419887,F1 VALIDATION
1h,global,GradientBoostingClassifier,"{0: 0.524074074074074, 1: 0.4759259259259259}",DESBALANCEO REAL VAL
1h,global,GradientBoostingClassifier,"{1: 0.5027777777777778, 0: 0.49722222222222223}",DESBALANCEO PREDICCIÓN VAL
1h,global,GradientBoostingClassifier,0.5040266839148245,ACC FINAL TEST
1h,global,GradientBoostingClassifier,0.503968496023087,F1 FINAL TEST
1h,ADAUSDT_1h,GradientBoostingClassifier,0.5033671955256249,ACC CRYPTO TEST
1h,ADAUSDT_1h,GradientBoostingClassifier,0.5024894055636895,F1 CRYPTO TEST
1h,ADAUSDT_1h,GradientBoostingClassifier,"{0: 0.5114712932313663, 1: 0.4885287067686337}",DESBALANCEO REAL
1h,ADAUSDT_1h,GradientBoostingClassifier,"{0: 0.5305330441730396, 1: 0.4694669558269604}",DESBALANCEO PREDICCIÓN
1h,AVAXUSDT_1h,GradientBoostingClassifier,0.5075904577103071,ACC CRYPTO TEST
1h,AVAXUSDT_1h,GradientBoostingClassifier,0.5042701678015061,F1 CRYPTO TEST
1h,AVAXUSDT_1h,GradientBoostingClassifier,"{0: 0.513982422097934, 1: 0.48601757790206596}",DESBALANCEO REAL
1h,AVAXUSDT_1h,GradientBoostingClassifier,"{0: 0.5678575505079329, 1: 0.4321424494920671}",DESBALANCEO PREDICCIÓN
1h,BNBUSDT_1h,GradientBoostingClassifier,0.5049651866225316,ACC CRYPTO TEST
1h,BNBUSDT_1h,GradientBoostingClassifier,0.5045288137557609,F1 CRYPTO TEST
1h,BNBUSDT_1h,GradientBoostingClassifier,"{1: 0.5252825019974888, 0: 0.4747174980025111}",DESBALANCEO REAL
1h,BNBUSDT_1h,GradientBoostingClassifier,"{1: 0.5043944755164935, 0: 0.4956055244835065}",DESBALANCEO PREDICCIÓN
1h,BTCUSDT_1h,GradientBoostingClassifier,0.5055358977285698,ACC CRYPTO TEST
1h,BTCUSDT_1h,GradientBoostingClassifier,0.5051297056333819,F1 CRYPTO TEST
1h,BTCUSDT_1h,GradientBoostingClassifier,"{1: 0.5288209108549252, 0: 0.4711790891450748}",DESBALANCEO REAL
1h,BTCUSDT_1h,GradientBoostingClassifier,"{0: 0.5001712133318115, 1: 0.4998287866681886}",DESBALANCEO PREDICCIÓN
1h,ETHUSDT_1h,GradientBoostingClassifier,0.5023399155347563,ACC CRYPTO TEST
1h,ETHUSDT_1h,GradientBoostingClassifier,0.5022109789452669,F1 CRYPTO TEST
1h,ETHUSDT_1h,GradientBoostingClassifier,"{1: 0.5111288665677434, 0: 0.4888711334322566}",DESBALANCEO REAL
1h,ETHUSDT_1h,GradientBoostingClassifier,"{0: 0.5272229197580185, 1: 0.4727770802419815}",DESBALANCEO PREDICCIÓN
1h,LINKUSDT_1h,GradientBoostingClassifier,0.49697523113799796,ACC CRYPTO TEST
1h,LINKUSDT_1h,GradientBoostingClassifier,0.49676750013167426,F1 CRYPTO TEST
1h,LINKUSDT_1h,GradientBoostingClassifier,"{0: 0.5056500399497774, 1: 0.4943499600502226}",DESBALANCEO REAL
1h,LINKUSDT_1h,GradientBoostingClassifier,"{0: 0.5146672754251798, 1: 0.48533272457482024}",DESBALANCEO PREDICCIÓN
1h,SOLUSDT_1h,GradientBoostingClassifier,0.509416733249629,ACC CRYPTO TEST
1h,SOLUSDT_1h,GradientBoostingClassifier,0.5078709998844656,F1 CRYPTO TEST
1h,SOLUSDT_1h,GradientBoostingClassifier,"{1: 0.5071338888254765, 0: 0.49286611117452345}",DESBALANCEO REAL
1h,SOLUSDT_1h,GradientBoostingClassifier,"{0: 0.5631777194384203, 1: 0.43682228056157973}",DESBALANCEO PREDICCIÓN
1h,TRXUSDT_1h,GradientBoostingClassifier,0.5022257733135487,ACC CRYPTO TEST
1h,TRXUSDT_1h,GradientBoostingClassifier,0.49826916898062434,F1 CRYPTO TEST
1h,TRXUSDT_1h,GradientBoostingClassifier,"{1: 0.5325876041547769, 0: 0.46741239584522315}",DESBALANCEO REAL
1h,TRXUSDT_1h,GradientBoostingClassifier,"{1: 0.5562150439447552, 0: 0.4437849560552448}",DESBALANCEO PREDICCIÓN
1h,XRPUSDT_1h,GradientBoostingClassifier,0.5038237644104554,ACC CRYPTO TEST
1h,XRPUSDT_1h,GradientBoostingClassifier,0.5034258587647522,F1 CRYPTO TEST
1h,XRPUSDT_1h,GradientBoostingClassifier,"{1: 0.5010843511014724, 0: 0.4989156488985276}",DESBALANCEO REAL
1h,XRPUSDT_1h,GradientBoostingClassifier,"{0: 0.5293916219609633, 1: 0.47060837803903666}",DESBALANCEO PREDICCIÓN
4h,global,MLPClassifier,0.4716304810557684,ACC VALIDATION
4h,global,MLPClassifier,0.3165912414790844,F1 VALIDATION
4h,global,MLPClassifier,"{0: 0.5517241379310345, 1: 0.4482758620689655}",DESBALANCEO REAL VAL
4h,global,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
4h,global,MLPClassifier,0.49201277955271566,ACC FINAL TEST
4h,global,MLPClassifier,0.3297644539614561,F1 FINAL TEST
4h,ADAUSDT_4h,MLPClassifier,0.5203103605659516,ACC CRYPTO TEST
4h,ADAUSDT_4h,MLPClassifier,0.34223956769738817,F1 CRYPTO TEST
4h,ADAUSDT_4h,MLPClassifier,"{0: 0.5203103605659516, 1: 0.47968963943404835}",DESBALANCEO REAL
4h,ADAUSDT_4h,MLPClassifier,{0: 1.0},DESBALANCEO PREDICCIÓN
4h,AVAXUSDT_4h,MLPClassifier,0.5376540392514834,ACC CRYPTO TEST
4h,AVAXUSDT_4h,MLPClassifier,0.3496586524191155,F1 CRYPTO TEST
4h,AVAXUSDT_4h,MLPClassifier,"{0: 0.5376540392514834, 1: 0.46234596074851664}",DESBALANCEO REAL
4h,AVAXUSDT_4h,MLPClassifier,{0: 1.0},DESBALANCEO PREDICCIÓN
4h,BNBUSDT_4h,MLPClassifier,0.46325878594249204,ACC CRYPTO TEST
4h,BNBUSDT_4h,MLPClassifier,0.3165938864628821,F1 CRYPTO TEST
4h,BNBUSDT_4h,MLPClassifier,"{1: 0.536741214057508, 0: 0.46325878594249204}",DESBALANCEO REAL
4h,BNBUSDT_4h,MLPClassifier,{0: 1.0},DESBALANCEO PREDICCIÓN
4h,BTCUSDT_4h,MLPClassifier,0.46097672295755365,ACC CRYPTO TEST
4h,BTCUSDT_4h,MLPClassifier,0.3155263980006248,F1 CRYPTO TEST
4h,BTCUSDT_4h,MLPClassifier,"{1: 0.5390232770424463, 0: 0.46097672295755365}",DESBALANCEO REAL
4h,BTCUSDT_4h,MLPClassifier,{0: 1.0},DESBALANCEO PREDICCIÓN
4h,ETHUSDT_4h,MLPClassifier,0.47740757644910997,ACC CRYPTO TEST
4h,ETHUSDT_4h,MLPClassifier,0.32313870868087735,F1 CRYPTO TEST
4h,ETHUSDT_4h,MLPClassifier,"{1: 0.52259242355089, 0: 0.47740757644910997}",DESBALANCEO REAL
4h,ETHUSDT_4h,MLPClassifier,{0: 1.0},DESBALANCEO PREDICCIÓN
4h,LINKUSDT_4h,MLPClassifier,0.5143769968051118,ACC CRYPTO TEST
4h,LINKUSDT_4h,MLPClassifier,0.339662447257384,F1 CRYPTO TEST
4h,LINKUSDT_4h,MLPClassifier,"{0: 0.5143769968051118, 1: 0.48562300319488816}",DESBALANCEO REAL
4h,LINKUSDT_4h,MLPClassifier,{0: 1.0},DESBALANCEO PREDICCIÓN
4h,SOLUSDT_4h,MLPClassifier,0.49612049292560473,ACC CRYPTO TEST
4h,SOLUSDT_4h,MLPClassifier,0.33160463697376447,F1 CRYPTO TEST
4h,SOLUSDT_4h,MLPClassifier,"{1: 0.5038795070743952, 0: 0.49612049292560473}",DESBALANCEO REAL
4h,SOLUSDT_4h,MLPClassifier,{0: 1.0},DESBALANCEO PREDICCIÓN
4h,TRXUSDT_4h,MLPClassifier,0.4641716111364674,ACC CRYPTO TEST
4h,TRXUSDT_4h,MLPClassifier,0.31701995012468825,F1 CRYPTO TEST
4h,TRXUSDT_4h,MLPClassifier,"{1: 0.5358283888635327, 0: 0.4641716111364674}",DESBALANCEO REAL
4h,TRXUSDT_4h,MLPClassifier,{0: 1.0},DESBALANCEO PREDICCIÓN
4h,XRPUSDT_4h,MLPClassifier,0.49383842994066635,ACC CRYPTO TEST
4h,XRPUSDT_4h,MLPClassifier,0.33058356248090437,F1 CRYPTO TEST
4h,XRPUSDT_4h,MLPClassifier,"{1: 0.5061615700593336, 0: 0.49383842994066635}",DESBALANCEO REAL
4h,XRPUSDT_4h,MLPClassifier,{0: 1.0},DESBALANCEO PREDICCIÓN
4h,global,RandomForestClassifier,0.5187398893146019,ACC VALIDATION
4h,global,RandomForestClassifier,0.5095674286908166,F1 VALIDATION
4h,global,RandomForestClassifier,"{0: 0.5517241379310345, 1: 0.4482758620689655}",DESBALANCEO REAL VAL
4h,global,RandomForestClassifier,"{1: 0.5134099616858238, 0: 0.48659003831417624}",DESBALANCEO PREDICCIÓN VAL
4h,global,RandomForestClassifier,0.5140727217404534,ACC FINAL TEST
4h,global,RandomForestClassifier,0.5121963096543791,F1 FINAL TEST
4h,ADAUSDT_4h,RandomForestClassifier,0.5285257873117298,ACC CRYPTO TEST
4h,ADAUSDT_4h,RandomForestClassifier,0.5166098017041334,F1 CRYPTO TEST
4h,ADAUSDT_4h,RandomForestClassifier,"{0: 0.5203103605659516, 1: 0.47968963943404835}",DESBALANCEO REAL
4h,ADAUSDT_4h,RandomForestClassifier,"{0: 0.6366955727978092, 1: 0.3633044272021908}",DESBALANCEO PREDICCIÓN
4h,AVAXUSDT_4h,RandomForestClassifier,0.5312642628936559,ACC CRYPTO TEST
4h,AVAXUSDT_4h,RandomForestClassifier,0.5229060162866401,F1 CRYPTO TEST
4h,AVAXUSDT_4h,RandomForestClassifier,"{0: 0.5376540392514834, 1: 0.46234596074851664}",DESBALANCEO REAL
4h,AVAXUSDT_4h,RandomForestClassifier,"{0: 0.5947056138749429, 1: 0.405294386125057}",DESBALANCEO PREDICCIÓN
4h,BNBUSDT_4h,RandomForestClassifier,0.49155636695572796,ACC CRYPTO TEST
4h,BNBUSDT_4h,RandomForestClassifier,0.4908256689346945,F1 CRYPTO TEST
4h,BNBUSDT_4h,RandomForestClassifier,"{1: 0.536741214057508, 0: 0.46325878594249204}",DESBALANCEO REAL
4h,BNBUSDT_4h,RandomForestClassifier,"{0: 0.5746234596074852, 1: 0.4253765403925148}",DESBALANCEO PREDICCIÓN
4h,BTCUSDT_4h,RandomForestClassifier,0.49977179370150615,ACC CRYPTO TEST
4h,BTCUSDT_4h,RandomForestClassifier,0.4995214752567694,F1 CRYPTO TEST
4h,BTCUSDT_4h,RandomForestClassifier,"{1: 0.5390232770424463, 0: 0.46097672295755365}",DESBALANCEO REAL
4h,BTCUSDT_4h,RandomForestClassifier,"{0: 0.5613874942948426, 1: 0.4386125057051575}",DESBALANCEO PREDICCIÓN
4h,ETHUSDT_4h,RandomForestClassifier,0.5089000456412597,ACC CRYPTO TEST
4h,ETHUSDT_4h,RandomForestClassifier,0.506493517367961,F1 CRYPTO TEST
4h,ETHUSDT_4h,RandomForestClassifier,"{1: 0.52259242355089, 0: 0.47740757644910997}",DESBALANCEO REAL
4h,ETHUSDT_4h,RandomForestClassifier,"{0: 0.5924235508900045, 1: 0.4075764491099954}",DESBALANCEO PREDICCIÓN
4h,LINKUSDT_4h,RandomForestClassifier,0.5148334094020995,ACC CRYPTO TEST
4h,LINKUSDT_4h,RandomForestClassifier,0.5085367580387075,F1 CRYPTO TEST
4h,LINKUSDT_4h,RandomForestClassifier,"{0: 0.5143769968051118, 1: 0.48562300319488816}",DESBALANCEO REAL
4h,LINKUSDT_4h,RandomForestClassifier,"{0: 0.5988133272478321, 1: 0.40118667275216796}",DESBALANCEO PREDICCIÓN
4h,SOLUSDT_4h,RandomForestClassifier,0.5043359196713829,ACC CRYPTO TEST
4h,SOLUSDT_4h,RandomForestClassifier,0.4787968078898533,F1 CRYPTO TEST
4h,SOLUSDT_4h,RandomForestClassifier,"{1: 0.5038795070743952, 0: 0.49612049292560473}",DESBALANCEO REAL
4h,SOLUSDT_4h,RandomForestClassifier,"{0: 0.7252396166134185, 1: 0.2747603833865815}",DESBALANCEO PREDICCIÓN
4h,TRXUSDT_4h,RandomForestClassifier,0.5047923322683706,ACC CRYPTO TEST
4h,TRXUSDT_4h,RandomForestClassifier,0.468025971730065,F1 CRYPTO TEST
4h,TRXUSDT_4h,RandomForestClassifier,"{1: 0.5358283888635327, 0: 0.4641716111364674}",DESBALANCEO REAL
4h,TRXUSDT_4h,RandomForestClassifier,"{1: 0.7270652670013692, 0: 0.27293473299863075}",DESBALANCEO PREDICCIÓN
4h,XRPUSDT_4h,RandomForestClassifier,0.5426745778183478,ACC CRYPTO TEST
4h,XRPUSDT_4h,RandomForestClassifier,0.5406066536203522,F1 CRYPTO TEST
4h,XRPUSDT_4h,RandomForestClassifier,"{1: 0.5061615700593336, 0: 0.49383842994066635}",DESBALANCEO REAL
4h,XRPUSDT_4h,RandomForestClassifier,"{0: 0.5732542218165222, 1: 0.42674577818347786}",DESBALANCEO PREDICCIÓN
4h,global,GradientBoostingClassifier,0.5154022988505746,ACC VALIDATION
4h,global,GradientBoostingClassifier,0.5091550530339697,F1 VALIDATION
4h,global,GradientBoostingClassifier,"{0: 0.5517241379310345, 1: 0.4482758620689655}",DESBALANCEO REAL VAL
4h,global,GradientBoostingClassifier,"{1: 0.5325670498084292, 0: 0.4674329501915709}",DESBALANCEO PREDICCIÓN VAL
4h,global,GradientBoostingClassifier,0.5041330696282773,ACC FINAL TEST
4h,global,GradientBoostingClassifier,0.5041229681663275,F1 FINAL TEST
4h,ADAUSDT_4h,GradientBoostingClassifier,0.47786398904609767,ACC CRYPTO TEST
4h,ADAUSDT_4h,GradientBoostingClassifier,0.47599073446894624,F1 CRYPTO TEST
4h,ADAUSDT_4h,GradientBoostingClassifier,"{0: 0.5203103605659516, 1: 0.47968963943404835}",DESBALANCEO REAL
4h,ADAUSDT_4h,GradientBoostingClassifier,"{0: 0.539479689639434, 1: 0.46052031036056595}",DESBALANCEO PREDICCIÓN
4h,AVAXUSDT_4h,GradientBoostingClassifier,0.5330899132816066,ACC CRYPTO TEST
4h,AVAXUSDT_4h,GradientBoostingClassifier,0.5299877516279263,F1 CRYPTO TEST
4h,AVAXUSDT_4h,GradientBoostingClassifier,"{0: 0.5376540392514834, 1: 0.46234596074851664}",DESBALANCEO REAL
4h,AVAXUSDT_4h,GradientBoostingClassifier,"{0: 0.5435874030123231, 1: 0.45641259698767683}",DESBALANCEO PREDICCIÓN
4h,BNBUSDT_4h,GradientBoostingClassifier,0.5029666818804199,ACC CRYPTO TEST
4h,BNBUSDT_4h,GradientBoostingClassifier,0.5018005969625693,F1 CRYPTO TEST
4h,BNBUSDT_4h,GradientBoostingClassifier,"{1: 0.536741214057508, 0: 0.46325878594249204}",DESBALANCEO REAL
4h,BNBUSDT_4h,GradientBoostingClassifier,"{1: 0.5116385212231858, 0: 0.48836147877681424}",DESBALANCEO PREDICCIÓN
4h,BTCUSDT_4h,GradientBoostingClassifier,0.5098128708352351,ACC CRYPTO TEST
4h,BTCUSDT_4h,GradientBoostingClassifier,0.5096877516014983,F1 CRYPTO TEST
4h,BTCUSDT_4h,GradientBoostingClassifier,"{1: 0.5390232770424463, 0: 0.46097672295755365}",DESBALANCEO REAL
4h,BTCUSDT_4h,GradientBoostingClassifier,"{0: 0.5230488361478777, 1: 0.47695116385212233}",DESBALANCEO PREDICCIÓN
4h,ETHUSDT_4h,GradientBoostingClassifier,0.4892743039707896,ACC CRYPTO TEST
4h,ETHUSDT_4h,GradientBoostingClassifier,0.4883325037643649,F1 CRYPTO TEST
4h,ETHUSDT_4h,GradientBoostingClassifier,"{1: 0.52259242355089, 0: 0.47740757644910997}",DESBALANCEO REAL
4h,ETHUSDT_4h,GradientBoostingClassifier,"{1: 0.5203103605659516, 0: 0.47968963943404835}",DESBALANCEO PREDICCIÓN
4h,LINKUSDT_4h,GradientBoostingClassifier,0.49977179370150615,ACC CRYPTO TEST
4h,LINKUSDT_4h,GradientBoostingClassifier,0.49886890859278876,F1 CRYPTO TEST
