Model,Asset,Value,What
RandomForestClassifier,global,0.5189876543209877,ACC VALIDATION
RandomForestClassifier,global,0.5083411902111143,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.7437037037037038, 0: 0.2562962962962963}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.5007407407407407, 1: 0.49925925925925924}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5180987654320989,ACC VALIDATION
RandomForestClassifier,global,0.5046955143973998,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.7437037037037038, 0: 0.2562962962962963}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{1: 0.5466666666666666, 0: 0.4533333333333333}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5040987654320987,ACC VALIDATION
RandomForestClassifier,global,0.4885977886123408,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.7437037037037038, 0: 0.2562962962962963}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.5066666666666667, 1: 0.49333333333333335}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5114567901234568,ACC VALIDATION
RandomForestClassifier,global,0.5020704142715402,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.7437037037037038, 0: 0.2562962962962963}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.5185185185185185, 1: 0.48148148148148145}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5071604938271606,ACC VALIDATION
RandomForestClassifier,global,0.49893754049555844,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.7437037037037038, 0: 0.2562962962962963}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.5481481481481482, 1: 0.45185185185185184}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5032098765432099,ACC VALIDATION
RandomForestClassifier,global,0.49175898389619854,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.7437037037037038, 0: 0.2562962962962963}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.5288888888888889, 1: 0.4711111111111111}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5143703703703705,ACC VALIDATION
RandomForestClassifier,global,0.5059140440041829,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.7437037037037038, 0: 0.2562962962962963}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.5274074074074074, 1: 0.4725925925925926}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.4820246913580247,ACC VALIDATION
RandomForestClassifier,global,0.4799745217911555,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.7437037037037038, 0: 0.2562962962962963}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.6622222222222223, 1: 0.3377777777777778}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5002222222222221,ACC VALIDATION
RandomForestClassifier,global,0.49326153859212807,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.7437037037037038, 0: 0.2562962962962963}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5033827160493828,ACC VALIDATION
RandomForestClassifier,global,0.49797733732500316,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.7437037037037038, 0: 0.2562962962962963}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.56, 1: 0.44}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5197328476017,ACC FINAL TEST
RandomForestClassifier,global,0.5195158634852164,F1 FINAL TEST
RandomForestClassifier,ADAUSDT_1d,0.5245901639344263,ACC CRYPTO TEST
RandomForestClassifier,ADAUSDT_1d,0.4981560283687943,F1 CRYPTO TEST
