Model,Asset,Value,What
RandomForestClassifier,global,0.5059103641456583,ACC VALIDATION
RandomForestClassifier,global,0.498882299442897,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.5210084033613446, 0: 0.4789915966386555}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.6134453781512605, 1: 0.3865546218487395}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5009752048967735,ACC VALIDATION
RandomForestClassifier,global,0.495245087440236,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.5210084033613446, 0: 0.4789915966386555}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.5835667600373483, 1: 0.41643323996265175}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.4882850918145036,ACC VALIDATION
RandomForestClassifier,global,0.47807248516450773,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.5210084033613446, 0: 0.4789915966386555}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.6816059757236228, 1: 0.3183940242763772}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5015229795621952,ACC VALIDATION
RandomForestClassifier,global,0.49269948325424834,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.5210084033613446, 0: 0.4789915966386555}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.6442577030812325, 1: 0.3557422969187675}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.500532212885154,ACC VALIDATION
RandomForestClassifier,global,0.4939947862619151,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.5210084033613446, 0: 0.4789915966386555}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.6069094304388422, 1: 0.3930905695611578}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5041062350866272,ACC VALIDATION
RandomForestClassifier,global,0.4967801904950022,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.5210084033613446, 0: 0.4789915966386555}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.6181139122315593, 1: 0.3818860877684407}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5077684407096171,ACC VALIDATION
RandomForestClassifier,global,0.5016102951778383,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.5210084033613446, 0: 0.4789915966386555}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.5910364145658263, 1: 0.40896358543417366}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5034920634920634,ACC VALIDATION
RandomForestClassifier,global,0.49563262521873785,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.5210084033613446, 0: 0.4789915966386555}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.6405228758169934, 1: 0.35947712418300654}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5029640004149808,ACC VALIDATION
RandomForestClassifier,global,0.49649792057621117,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.5210084033613446, 0: 0.4789915966386555}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.580765639589169, 1: 0.419234360410831}",DESBALANCEO PREDICCIÓN VAL
