Frequency,Asset,Model,Accuracy,IN/OUT Sample
1h,BTCUSDT_1h,OLS,0.5184462990406364,IN-SAMPLE
1h,LTCBTC_1h,OLS,0.5073447209006058,IN-SAMPLE
1h,BNBUSDT_1h,OLS,0.5052907989496399,IN-SAMPLE
1h,BNBBTC_1h,OLS,0.505004809817227,IN-SAMPLE
1h,LTCUSDT_1h,OLS,0.5233861113277696,IN-SAMPLE
1h,ADABTC_1h,OLS,0.4838936120427424,IN-SAMPLE
1h,ADAUSDT_1h,OLS,0.5210462002443907,IN-SAMPLE
1h,SOLUSDT_1h,OLS,0.5234641083638821,IN-SAMPLE
1h,SOLBTC_1h,OLS,0.516938356342459,IN-SAMPLE
1h,BTCUSDT_1h,MLP,0.4978550815069027,IN-SAMPLE
1h,LTCBTC_1h,MLP,0.4978810805189402,IN-SAMPLE
1h,BNBUSDT_1h,MLP,0.4942672178457218,IN-SAMPLE
1h,BNBBTC_1h,MLP,0.5058107791903907,IN-SAMPLE
1h,LTCUSDT_1h,MLP,0.4902893690039778,IN-SAMPLE
1h,ADABTC_1h,MLP,0.4731560200712373,IN-SAMPLE
1h,ADAUSDT_1h,MLP,0.5120505420794009,IN-SAMPLE
1h,SOLUSDT_1h,MLP,0.5113485687543873,IN-SAMPLE
1h,SOLBTC_1h,MLP,0.5138184748979538,IN-SAMPLE
1h,BTCUSDT_1h,OLS,0.5102040816326531,OUT-SAMPLE
1h,LTCBTC_1h,OLS,0.4784869361757441,OUT-SAMPLE
1h,BNBUSDT_1h,OLS,0.5064344209021188,OUT-SAMPLE
1h,BNBBTC_1h,OLS,0.506174444300013,OUT-SAMPLE
1h,LTCUSDT_1h,OLS,0.5237228649421553,OUT-SAMPLE
1h,ADABTC_1h,OLS,0.4530092291693747,OUT-SAMPLE
1h,ADAUSDT_1h,OLS,0.5174834264916157,OUT-SAMPLE
1h,SOLUSDT_1h,OLS,0.5273625373716365,OUT-SAMPLE
1h,SOLBTC_1h,OLS,0.5120239178473938,OUT-SAMPLE
1h,BTCUSDT_1h,MLP,0.4969452749252567,OUT-SAMPLE
1h,LTCBTC_1h,MLP,0.4700376966073053,OUT-SAMPLE
1h,BNBUSDT_1h,MLP,0.4914857662810347,OUT-SAMPLE
1h,BNBBTC_1h,MLP,0.4845963863252307,OUT-SAMPLE
1h,LTCUSDT_1h,MLP,0.5126738593526583,OUT-SAMPLE
1h,ADABTC_1h,MLP,0.4485896269335759,OUT-SAMPLE
1h,ADAUSDT_1h,MLP,0.4982451579357858,OUT-SAMPLE
1h,SOLUSDT_1h,MLP,0.4887560119589237,OUT-SAMPLE
1h,SOLBTC_1h,MLP,0.5016248537631613,OUT-SAMPLE
4h,BTCUSDT_4h,OLS,0.5230865224625624,IN-SAMPLE
4h,LTCBTC_4h,OLS,0.4979201331114808,IN-SAMPLE
4h,BNBUSDT_4h,OLS,0.5085274542429284,IN-SAMPLE
4h,BNBBTC_4h,OLS,0.4967762063227953,IN-SAMPLE
4h,LTCUSDT_4h,OLS,0.5211106489184693,IN-SAMPLE
4h,ADABTC_4h,OLS,0.4814891846921797,IN-SAMPLE
4h,ADAUSDT_4h,OLS,0.5258943427620633,IN-SAMPLE
4h,SOLUSDT_4h,OLS,0.5213186356073212,IN-SAMPLE
4h,SOLBTC_4h,OLS,0.5107113144758736,IN-SAMPLE
4h,BTCUSDT_4h,MLP,0.572171381031614,IN-SAMPLE
4h,LTCBTC_4h,MLP,0.5523086522462562,IN-SAMPLE
4h,BNBUSDT_4h,MLP,0.5441971713810316,IN-SAMPLE
4h,BNBBTC_4h,MLP,0.5327579034941764,IN-SAMPLE
4h,LTCUSDT_4h,MLP,0.5512687188019967,IN-SAMPLE
4h,ADABTC_4h,MLP,0.5497088186356073,IN-SAMPLE
4h,ADAUSDT_4h,MLP,0.5578202995008319,IN-SAMPLE
4h,SOLUSDT_4h,MLP,0.5910981697171381,IN-SAMPLE
4h,SOLBTC_4h,MLP,0.5177828618968386,IN-SAMPLE
4h,BTCUSDT_4h,OLS,0.5233887733887734,OUT-SAMPLE
4h,LTCBTC_4h,OLS,0.4942827442827442,OUT-SAMPLE
4h,BNBUSDT_4h,OLS,0.5025987525987526,OUT-SAMPLE
4h,BNBBTC_4h,OLS,0.5025987525987526,OUT-SAMPLE
4h,LTCUSDT_4h,OLS,0.5114345114345115,OUT-SAMPLE
4h,ADABTC_4h,OLS,0.4527027027027027,OUT-SAMPLE
4h,ADAUSDT_4h,OLS,0.5124740124740125,OUT-SAMPLE
4h,SOLUSDT_4h,OLS,0.5176715176715176,OUT-SAMPLE
4h,SOLBTC_4h,OLS,0.510914760914761,OUT-SAMPLE
4h,BTCUSDT_4h,MLP,0.488045738045738,OUT-SAMPLE
4h,LTCBTC_4h,MLP,0.4833679833679833,OUT-SAMPLE
4h,BNBUSDT_4h,MLP,0.4823284823284823,OUT-SAMPLE
4h,BNBBTC_4h,MLP,0.4797297297297297,OUT-SAMPLE
4h,LTCUSDT_4h,MLP,0.5244282744282744,OUT-SAMPLE
4h,ADABTC_4h,MLP,0.4672557172557172,OUT-SAMPLE
4h,ADAUSDT_4h,MLP,0.4802494802494803,OUT-SAMPLE
4h,SOLUSDT_4h,MLP,0.4958419958419958,OUT-SAMPLE
4h,SOLBTC_4h,MLP,0.4901247401247401,OUT-SAMPLE
1d,BTCUSDT_1d,OLS,0.5059486537257357,IN-SAMPLE
1d,LTCBTC_1d,OLS,0.5385097056981841,IN-SAMPLE
1d,BNBUSDT_1d,OLS,0.5209768315591734,IN-SAMPLE
1d,BNBBTC_1d,OLS,0.5021916092673764,IN-SAMPLE
1d,LTCUSDT_1d,OLS,0.5097056981840952,IN-SAMPLE
1d,ADABTC_1d,OLS,0.5084533500313086,IN-SAMPLE
1d,ADAUSDT_1d,OLS,0.5084533500313086,IN-SAMPLE
1d,SOLUSDT_1d,OLS,0.5159674389480275,IN-SAMPLE
1d,SOLBTC_1d,OLS,0.4896681277395115,IN-SAMPLE
1d,BTCUSDT_1d,MLP,0.6743894802755166,IN-SAMPLE
1d,LTCBTC_1d,MLP,0.5597996242955542,IN-SAMPLE
1d,BNBUSDT_1d,MLP,0.6349405134627426,IN-SAMPLE
1d,BNBBTC_1d,MLP,0.5604257983719474,IN-SAMPLE
1d,LTCUSDT_1d,MLP,0.5579211020663745,IN-SAMPLE
1d,ADABTC_1d,MLP,0.5535378835316218,IN-SAMPLE
1d,ADAUSDT_1d,MLP,0.6224170319348779,IN-SAMPLE
1d,SOLUSDT_1d,MLP,0.5510331872260489,IN-SAMPLE
