timestamp,BTCUSDT_1h,ETHUSDT_1h,XRPUSDT_1h,BNBUSDT_1h,SOLUSDT_1h,ADAUSDT_1h,TRXUSDT_1h,LINKUSDT_1h,AVAXUSDT_1h
2020-09-22 06:00:00,10423.27,342.05,0.2323,23.351,2.8,0.08082,0.02508,8.8803,4.8811
2020-09-22 07:00:00,10372.9,336.12,0.22978,22.9993,2.6728,0.07962,0.02474,8.73,4.9096
2020-09-22 08:00:00,10463.18,342.11,0.23129,23.4484,2.7602,0.08143,0.02493,8.8209,6.8219
2020-09-22 09:00:00,10452.03,340.09,0.23144,23.5538,2.7857,0.08153,0.02483,8.8347,6.2108
2020-09-22 10:00:00,10458.4,341.0,0.23197,23.8488,2.7847,0.08198,0.02492,8.8923,5.4901
2020-09-22 11:00:00,10452.26,339.58,0.23152,23.925,2.8184,0.08134,0.0248,8.835,5.7679
2020-09-22 12:00:00,10487.47,342.02,0.23159,24.427,2.8569,0.08211,0.02481,8.8261,5.8565
2020-09-22 13:00:00,10473.43,340.96,0.23129,24.1512,2.9025,0.08204,0.02487,8.8031,5.5112
2020-09-22 14:00:00,10439.25,339.41,0.2302,23.7755,2.8394,0.08214,0.02477,8.8149,5.157
2020-09-22 15:00:00,10451.07,341.23,0.23043,23.9498,2.8983,0.08215,0.02485,8.817,4.6699
2020-09-22 16:00:00,10455.13,341.02,0.23112,23.9759,2.9365,0.08248,0.02496,8.804,4.8848
2020-09-22 17:00:00,10491.0,343.67,0.23197,24.1296,2.9362,0.08315,0.02521,8.8292,4.4101
2020-09-22 18:00:00,10489.25,343.2,0.23195,23.9266,2.9362,0.08258,0.02511,8.8452,4.1532
2020-09-22 19:00:00,10491.97,343.58,0.23178,23.9883,2.9538,0.0821,0.02506,8.7632,4.48
2020-09-22 20:00:00,10512.77,344.65,0.23252,24.0502,2.946,0.08209,0.02495,8.709,4.3316
2020-09-22 21:00:00,10547.17,346.29,0.23427,24.1034,2.9566,0.08217,0.02506,8.7635,4.82
2020-09-22 22:00:00,10508.4,343.4,0.2325,23.9661,2.89,0.0817,0.02485,8.6885,5.3149
2020-09-22 23:00:00,10529.61,344.21,0.23302,24.0468,2.9082,0.08146,0.02499,8.7401,5.3193
2020-09-23 00:00:00,10510.73,342.63,0.23314,24.2186,3.0671,0.08236,0.02508,8.7148,4.9536
2020-09-23 01:00:00,10515.02,343.52,0.23349,24.0675,3.0228,0.08263,0.0252,8.7801,4.7674
2020-09-23 02:00:00,10513.93,343.47,0.23352,24.0998,2.9754,0.0824,0.02514,8.7702,5.0025
2020-09-23 03:00:00,10476.01,341.06,0.23235,24.115,2.8404,0.08166,0.02507,8.6089,4.9135
2020-09-23 04:00:00,10470.32,339.99,0.2318,23.8035,2.804,0.08083,0.02499,8.4141,4.316
2020-09-23 05:00:00,10473.22,340.58,0.23302,23.6819,2.8717,0.08086,0.02506,8.3486,4.3862
2020-09-23 06:00:00,10436.48,338.35,0.2316,23.3785,2.8305,0.08013,0.02482,8.021,4.3654
2020-09-23 07:00:00,10428.64,335.72,0.23188,23.5296,2.7678,0.08028,0.02479,8.1016,4.1197
2020-09-23 08:00:00,10448.54,336.41,0.23162,23.4282,2.8239,0.08025,0.02491,8.1132,4.2607
2020-09-23 09:00:00,10481.82,338.87,0.23278,23.7767,2.868,0.08093,0.02502,8.1633,4.2323
2020-09-23 10:00:00,10488.0,338.99,0.23223,23.7883,2.9031,0.08102,0.02511,8.1547,4.2744
2020-09-23 11:00:00,10474.45,338.71,0.23229,23.7895,2.9251,0.08086,0.02547,8.1542,4.2108
2020-09-23 12:00:00,10505.43,340.69,0.23353,23.944,2.9605,0.08195,0.02568,8.4017,4.2948
2020-09-23 13:00:00,10495.85,341.1,0.2337,24.0132,2.9442,0.08153,0.02567,8.3348,4.4096
2020-09-23 14:00:00,10471.89,339.12,0.23282,23.8428,2.8722,0.0811,0.02569,8.1552,4.2242
2020-09-23 15:00:00,10453.2,338.53,0.23085,23.773,2.9142,0.0808,0.02599,8.2226,4.1073
2020-09-23 16:00:00,10486.2,339.72,0.2318,23.8902,2.9703,0.08091,0.02586,8.3712,4.2706
2020-09-23 17:00:00,10455.89,337.97,0.23083,23.73,2.9375,0.08023,0.02577,8.2865,4.165
2020-09-23 18:00:00,10409.14,335.14,0.2301,23.4849,2.9,0.07971,0.02543,8.0805,4.0003
2020-09-23 19:00:00,10293.0,327.69,0.22676,23.1988,2.79,0.07825,0.02523,7.7835,3.7238
2020-09-23 20:00:00,10230.39,323.0,0.22376,22.9975,2.7985,0.0772,0.02513,7.6943,3.5587
2020-09-23 21:00:00,10252.22,322.42,0.2243,23.05,2.8155,0.07745,0.02496,7.99,3.5561
2020-09-23 22:00:00,10270.04,323.96,0.22401,23.1623,2.85,0.07753,0.02506,7.9529,3.5814
2020-09-23 23:00:00,10241.46,320.72,0.22164,22.8331,2.8548,0.07663,0.02486,7.6364,3.535
2020-09-24 00:00:00,10290.84,322.6,0.22297,23.0772,2.9,0.07695,0.02476,7.8135,3.5633
2020-09-24 01:00:00,10285.86,323.54,0.22349,23.12,2.9044,0.07709,0.02487,7.9857,3.6361
2020-09-24 02:00:00,10290.11,323.7,0.22327,23.1264,2.8958,0.07711,0.02497,8.2083,3.7187
2020-09-24 03:00:00,10301.75,324.95,0.22355,23.1994,2.9561,0.0777,0.02504,8.1705,3.7398
2020-09-24 04:00:00,10281.02,324.15,0.222,23.2106,2.898,0.07723,0.02485,8.1546,3.6028
2020-09-24 05:00:00,10289.64,325.0,0.22326,23.1269,2.9159,0.07747,0.02491,8.2951,3.6213
2020-09-24 06:00:00,10289.78,323.9,0.22314,23.1971,2.9358,0.07779,0.02498,8.2234,3.68
2020-09-24 07:00:00,10341.68,328.0,0.22493,23.818,3.0402,0.07849,0.02525,8.3481,3.8323
2020-09-24 08:00:00,10315.83,326.09,0.22208,23.5688,2.9999,0.07769,0.02496,8.324,4.1124
2020-09-24 09:00:00,10322.85,328.43,0.22262,23.7984,2.9879,0.07752,0.02514,8.3721,4.0396
2020-09-24 10:00:00,10372.31,333.01,0.22472,23.9712,2.9912,0.07882,0.0253,8.6486,4.2703
2020-09-24 11:00:00,10410.01,338.18,0.22643,23.78,3.0101,0.07932,0.02547,8.7024,4.3179
2020-09-24 12:00:00,10377.47,335.31,0.2249,23.6888,2.9579,0.07883,0.02523,8.7114,3.9471
2020-09-24 13:00:00,10377.22,336.98,0.22484,23.6556,2.9406,0.07921,0.02527,8.662,3.9604
2020-09-24 14:00:00,10407.07,337.58,0.22621,23.7181,2.9674,0.07962,0.0254,8.8321,4.1126
2020-09-24 15:00:00,10545.36,344.54,0.2289,24.0299,3.0284,0.08087,0.02581,9.2241,4.1466
2020-09-24 16:00:00,10672.2,346.55,0.23089,24.1943,3.15,0.08217,0.02603,9.3905,4.1921
2020-09-24 17:00:00,10657.9,345.97,0.23126,24.1991,3.1645,0.08226,0.02597,9.309,4.1818
2020-09-24 18:00:00,10612.61,344.26,0.2306,24.0639,3.1549,0.08187,0.02588,9.43,4.0162
2020-09-24 19:00:00,10653.82,345.99,0.23152,24.23,3.1641,0.08214,0.02585,9.9257,4.1828
2020-09-24 20:00:00,10626.73,345.71,0.23126,24.3802,3.1502,0.08255,0.02595,10.2026,4.085
2020-09-24 21:00:00,10647.25,345.88,0.23226,24.1313,3.1281,0.08336,0.02587,9.7883,4.285
2020-09-24 22:00:00,10762.4,350.81,0.2336,24.6732,3.1474,0.08291,0.02606,9.8285,4.7071
2020-09-24 23:00:00,10736.32,348.97,0.23276,24.5745,3.1433,0.08254,0.02625,9.87,4.6411
2020-09-25 00:00:00,10711.94,347.76,0.23156,24.7488,3.1466,0.0829,0.026,9.7698,4.5336
2020-09-25 01:00:00,10690.98,346.58,0.23208,24.6346,3.0646,0.08432,0.02603,9.774,4.5031
2020-09-25 02:00:00,10710.64,347.14,0.23266,24.7,3.0137,0.08701,0.0262,9.9377,4.5747
2020-09-25 03:00:00,10667.47,344.91,0.23192,24.5181,3.0102,0.08581,0.02615,9.7726,4.531
2020-09-25 04:00:00,10677.05,344.79,0.23184,24.5207,3.0383,0.08576,0.02626,9.74,4.6063
2020-09-25 05:00:00,10648.9,341.16,0.23131,24.3508,3.01,0.08487,0.02604,9.6191,4.4733
2020-09-25 06:00:00,10691.87,344.75,0.23254,24.5055,2.998,0.08631,0.02614,9.9155,4.7431
2020-09-25 07:00:00,10686.94,343.0,0.2331,24.5694,3.0077,0.08796,0.02615,9.8168,4.5762
2020-09-25 08:00:00,10599.69,338.77,0.23036,24.2075,2.9475,0.08603,0.02562,9.5039,4.4323
2020-09-25 09:00:00,10593.82,340.18,0.23043,24.0768,2.9118,0.08648,0.02576,9.5384,4.4149
2020-09-25 10:00:00,10591.75,340.45,0.23029,24.0324,3.0094,0.08764,0.02571,9.5108,4.28
2020-09-25 11:00:00,10630.0,343.69,0.23804,24.2299,3.03,0.09365,0.02615,9.7969,4.3781
