Model,Asset,Accuracy,IN/OUT Sample
OLS,BTCUSDT_1d,0.5059486537257357,IN-SAMPLE
OLS,LTCBTC_1d,0.5385097056981841,IN-SAMPLE
OLS,BNBUSDT_1d,0.5209768315591734,IN-SAMPLE
OLS,BNBBTC_1d,0.5021916092673764,IN-SAMPLE
OLS,LTCUSDT_1d,0.5097056981840952,IN-SAMPLE
OLS,ADABTC_1d,0.5084533500313086,IN-SAMPLE
OLS,ADAUSDT_1d,0.5084533500313086,IN-SAMPLE
OLS,SOLUSDT_1d,0.5159674389480275,IN-SAMPLE
OLS,SOLBTC_1d,0.4896681277395115,IN-SAMPLE
MLP,BTCUSDT_1d,0.6743894802755166,IN-SAMPLE
MLP,LTCBTC_1d,0.5597996242955542,IN-SAMPLE
MLP,BNBUSDT_1d,0.6349405134627426,IN-SAMPLE
MLP,BNBBTC_1d,0.5604257983719474,IN-SAMPLE
MLP,LTCUSDT_1d,0.5579211020663745,IN-SAMPLE
MLP,ADABTC_1d,0.5535378835316218,IN-SAMPLE
MLP,ADAUSDT_1d,0.6224170319348779,IN-SAMPLE
MLP,SOLUSDT_1d,0.5510331872260489,IN-SAMPLE
MLP,SOLBTC_1d,0.567313713212273,IN-SAMPLE
OLS,BTCUSDT_1d,0.4875,OUT-SAMPLE
OLS,LTCBTC_1d,0.54375,OUT-SAMPLE
OLS,BNBUSDT_1d,0.496875,OUT-SAMPLE
OLS,BNBBTC_1d,0.49375,OUT-SAMPLE
OLS,LTCUSDT_1d,0.465625,OUT-SAMPLE
OLS,ADABTC_1d,0.465625,OUT-SAMPLE
OLS,ADAUSDT_1d,0.48125,OUT-SAMPLE
OLS,SOLUSDT_1d,0.4625,OUT-SAMPLE
OLS,SOLBTC_1d,0.459375,OUT-SAMPLE
MLP,BTCUSDT_1d,0.50625,OUT-SAMPLE
MLP,LTCBTC_1d,0.465625,OUT-SAMPLE
MLP,BNBUSDT_1d,0.475,OUT-SAMPLE
MLP,BNBBTC_1d,0.515625,OUT-SAMPLE
MLP,LTCUSDT_1d,0.540625,OUT-SAMPLE
MLP,ADABTC_1d,0.5375,OUT-SAMPLE
MLP,ADAUSDT_1d,0.5375,OUT-SAMPLE
MLP,SOLUSDT_1d,0.515625,OUT-SAMPLE
MLP,SOLBTC_1d,0.490625,OUT-SAMPLE
DNN,BTCUSDT_1d,0.484375,OUT-SAMPLE
DNN,LTCBTC_1d,0.540625,OUT-SAMPLE
DNN,BNBUSDT_1d,0.4875,OUT-SAMPLE
DNN,BNBBTC_1d,0.4875,OUT-SAMPLE
DNN,LTCUSDT_1d,0.503125,OUT-SAMPLE
DNN,ADABTC_1d,0.496875,OUT-SAMPLE
DNN,ADAUSDT_1d,0.5,OUT-SAMPLE
DNN,SOLUSDT_1d,0.5125,OUT-SAMPLE
DNN,SOLBTC_1d,0.525,OUT-SAMPLE
