Model,Asset,Accuracy,IN/OUT Sample,Vald/Test
MLPClassifier,BTCUSDT_1d,0.5457777777777777,OUT-SAMPLE,
MLPClassifier,BTCUSDT_1d,0.4875555555555556,OUT-SAMPLE,
MLPClassifier,BTCUSDT_1d,0.4808888888888889,OUT-SAMPLE,
MLPClassifier,BTCUSDT_1d,0.4671111111111111,OUT-SAMPLE,
MLPClassifier,BTCUSDT_1d,0.4822222222222222,OUT-SAMPLE,
MLPClassifier,ETHUSDT_1d,0.5384444444444444,OUT-SAMPLE,
MLPClassifier,ETHUSDT_1d,0.4886666666666667,OUT-SAMPLE,
MLPClassifier,ETHUSDT_1d,0.4666666666666667,OUT-SAMPLE,
MLPClassifier,ETHUSDT_1d,0.4851111111111111,OUT-SAMPLE,
MLPClassifier,XRPUSDT_1d,0.5157037037037038,OUT-SAMPLE,
MLPClassifier,XRPUSDT_1d,0.5191111111111112,OUT-SAMPLE,
MLPClassifier,XRPUSDT_1d,0.5077037037037038,OUT-SAMPLE,
MLPClassifier,ETHUSDT_1d,0.4246666666666666,OUT-SAMPLE,
MLPClassifier,BNBUSDT_1d,0.509888888888889,OUT-SAMPLE,
MLPClassifier,XRPUSDT_1d,0.484,OUT-SAMPLE,
MLPClassifier,SOLUSDT_1d,0.5170666666666667,OUT-SAMPLE,
MLPClassifier,BNBUSDT_1d,0.531111111111111,OUT-SAMPLE,
MLPClassifier,ADAUSDT_1d,0.5288888888888889,OUT-SAMPLE,
MLPClassifier,BNBUSDT_1d,0.479,OUT-SAMPLE,
MLPClassifier,BNBUSDT_1d,0.4971111111111111,OUT-SAMPLE,
MLPClassifier,SOLUSDT_1d,0.5229333333333333,OUT-SAMPLE,
MLPClassifier,TRXUSDT_1d,0.5356825396825398,OUT-SAMPLE,
MLPClassifier,XRPUSDT_1d,0.4582222222222222,OUT-SAMPLE,
MLPClassifier,SOLUSDT_1d,0.4779555555555556,OUT-SAMPLE,
MLPClassifier,ADAUSDT_1d,0.5165925925925926,OUT-SAMPLE,
MLPClassifier,SOLUSDT_1d,0.5024,OUT-SAMPLE,
MLPClassifier,TRXUSDT_1d,0.5101587301587301,OUT-SAMPLE,
MLPClassifier,LINKUSDT_1d,0.5329444444444444,OUT-SAMPLE,
MLPClassifier,ADAUSDT_1d,0.4854074074074074,OUT-SAMPLE,
MLPClassifier,ADAUSDT_1d,0.5044444444444445,OUT-SAMPLE,
MLPClassifier,AVAXUSDT_1d,0.5232098765432098,OUT-SAMPLE,
MLPClassifier,BNBUSDT_1d,0.4834444444444444,OUT-SAMPLE,
MLPClassifier,TRXUSDT_1d,0.4765714285714286,OUT-SAMPLE,
MLPClassifier,LINKUSDT_1d,0.506,OUT-SAMPLE,
MLPClassifier,TRXUSDT_1d,0.502920634920635,OUT-SAMPLE,
MLPClassifier,AVAXUSDT_1d,0.5021234567901234,OUT-SAMPLE,
MLPClassifier,SOLUSDT_1d,0.4765333333333333,OUT-SAMPLE,
MLPClassifier,LINKUSDT_1d,0.4778333333333333,OUT-SAMPLE,
MLPClassifier,LINKUSDT_1d,0.4983888888888889,OUT-SAMPLE,
MLPClassifier,AVAXUSDT_1d,0.4736296296296295,OUT-SAMPLE,
MLPClassifier,AVAXUSDT_1d,0.5012345679012346,OUT-SAMPLE,
MLPClassifier,ADAUSDT_1d,0.4907407407407407,OUT-SAMPLE,
MLPClassifier,TRXUSDT_1d,0.4975238095238095,OUT-SAMPLE,
MLPClassifier,LINKUSDT_1d,0.4977222222222222,OUT-SAMPLE,
MLPClassifier,AVAXUSDT_1d,0.4970864197530864,OUT-SAMPLE,
MLPClassifier,BTCUSDT_1d,0.5027322404371585,FINAL-TEST,
MLPClassifier,ETHUSDT_1d,0.5382513661202186,FINAL-TEST,
MLPClassifier,XRPUSDT_1d,0.4644808743169399,FINAL-TEST,
MLPClassifier,BNBUSDT_1d,0.4918032786885246,FINAL-TEST,
MLPClassifier,SOLUSDT_1d,0.5109289617486339,FINAL-TEST,
MLPClassifier,ADAUSDT_1d,0.4344262295081967,FINAL-TEST,
MLPClassifier,TRXUSDT_1d,0.6120218579234973,FINAL-TEST,
MLPClassifier,LINKUSDT_1d,0.494535519125683,FINAL-TEST,
MLPClassifier,AVAXUSDT_1d,0.4590163934426229,FINAL-TEST,
MLPClassifier,global,0.5804444444444445,,Val
MLPClassifier,global,0.6429872495446266,,Test
MLPClassifier,global,0.6456296296296297,,Val
MLPClassifier,global,0.7043108682452944,,Test
MLPClassifier,global,0.5936296296296296,,Val
MLPClassifier,global,0.5906666666666667,,Val
MLPClassifier,global,0.5851851851851853,,Val
MLPClassifier,global,0.594962962962963,,Val
MLPClassifier,global,0.5820740740740741,,Val
MLPClassifier,global,0.5710382513661202,,Test
MLPClassifier,global,0.592,,Val
MLPClassifier,global,0.5962962962962963,,Val
MLPClassifier,global,0.5866666666666667,,Val
MLPClassifier,global,0.5905185185185186,,Val
MLPClassifier,global,0.6016296296296296,,Val
MLPClassifier,global,0.639344262295082,,Test
MLPClassifier,global,0.5982222222222223,,Val
MLPClassifier,global,0.5841481481481481,,Val
MLPClassifier,global,0.5925925925925926,,Val
MLPClassifier,global,0.5662222222222223,,Val
MLPClassifier,global,0.589925925925926,,Val
MLPClassifier,global,0.6593806921675774,,Test
MLPClassifier,AVAXUSDT,0.7,,Val
MLPClassifier,BTCUSDT,0.6666666666666666,,Val
MLPClassifier,XRPUSDT,0.2555555555555555,,Val
MLPClassifier,AVAXUSDT,0.6888888888888889,,Val
MLPClassifier,BTCUSDT,0.6666666666666666,,Val
MLPClassifier,XRPUSDT,0.2333333333333333,,Val
MLPClassifier,AVAXUSDT,0.6,,Val
MLPClassifier,BTCUSDT,0.6777777777777778,,Val
MLPClassifier,XRPUSDT,0.2444444444444444,,Val
MLPClassifier,AVAXUSDT,0.5777777777777777,,Val
MLPClassifier,BTCUSDT,0.4888888888888889,,Val
MLPClassifier,XRPUSDT,0.4,,Val
MLPClassifier,AVAXUSDT,0.6555555555555556,,Val
MLPClassifier,BTCUSDT,0.6888888888888889,,Val
MLPClassifier,XRPUSDT,0.2111111111111111,,Val
MLPClassifier,AVAXUSDT,0.6555555555555556,,Val
MLPClassifier,BTCUSDT,0.5555555555555556,,Val
MLPClassifier,XRPUSDT,0.2777777777777778,,Val
MLPClassifier,AVAXUSDT,0.5888888888888889,,Val
MLPClassifier,BTCUSDT,0.6555555555555556,,Val
MLPClassifier,XRPUSDT,0.2555555555555555,,Val
MLPClassifier,AVAXUSDT,0.6444444444444445,,Val
MLPClassifier,BTCUSDT,0.6888888888888889,,Val
MLPClassifier,XRPUSDT,0.2111111111111111,,Val
MLPClassifier,AVAXUSDT,0.5666666666666667,,Val
MLPClassifier,BTCUSDT,0.6222222222222222,,Val
MLPClassifier,XRPUSDT,0.2666666666666666,,Val
MLPClassifier,AVAXUSDT,0.6555555555555556,,Val
MLPClassifier,BTCUSDT,0.6888888888888889,,Val
MLPClassifier,BTCUSDT,0.7555555555555555,,Val
MLPClassifier,XRPUSDT,0.3,,Val
MLPClassifier,AVAXUSDT,0.7111111111111111,,Val
MLPClassifier,BTCUSDT,0.5555555555555556,,Val
MLPClassifier,XRPUSDT,0.4333333333333333,,Val
MLPClassifier,AVAXUSDT,0.7555555555555555,,Val
MLPClassifier,BTCUSDT,0.7555555555555555,,Val
MLPClassifier,XRPUSDT,0.3,,Val
MLPClassifier,AVAXUSDT,0.6333333333333333,,Val
MLPClassifier,BTCUSDT,0.6222222222222222,,Val
MLPClassifier,XRPUSDT,0.3888888888888889,,Val
MLPClassifier,AVAXUSDT,0.7444444444444445,,Val
MLPClassifier,BTCUSDT,0.7444444444444445,,Val
MLPClassifier,XRPUSDT,0.3111111111111111,,Val
MLPClassifier,AVAXUSDT,0.7111111111111111,,Val
MLPClassifier,BTCUSDT,0.8,,Val
MLPClassifier,XRPUSDT,0.3666666666666666,,Val
MLPClassifier,AVAXUSDT,0.7111111111111111,,Val
MLPClassifier,BTCUSDT,0.8,,Val
MLPClassifier,XRPUSDT,0.4111111111111111,,Val
MLPClassifier,AVAXUSDT,0.7555555555555555,,Val
MLPClassifier,BTCUSDT,0.8,,Val
MLPClassifier,XRPUSDT,0.3111111111111111,,Val
MLPClassifier,AVAXUSDT,0.6666666666666666,,Val
MLPClassifier,BTCUSDT,0.8,,Val
MLPClassifier,XRPUSDT,0.4555555555555555,,Val
MLPClassifier,AVAXUSDT,0.56,,Val
MLPClassifier,BTCUSDT,0.6,,Val
MLPClassifier,XRPUSDT,0.16,,Val
MLPClassifier,global,0.528,,Val
MLPClassifier,AVAXUSDT,0.56,,Val
MLPClassifier,BTCUSDT,0.6,,Val
MLPClassifier,XRPUSDT,0.16,,Val
MLPClassifier,global,0.5317037037037038,,Val
MLPClassifier,AVAXUSDT,0.5333333333333333,,Val
MLPClassifier,BTCUSDT,0.6,,Val
MLPClassifier,XRPUSDT,0.1733333333333333,,Val
MLPClassifier,global,0.5478518518518519,,Val
MLPClassifier,AVAXUSDT,0.56,,Val
MLPClassifier,BTCUSDT,0.6,,Val
MLPClassifier,XRPUSDT,0.16,,Val
MLPClassifier,global,0.5354074074074073,,Val
MLPClassifier,AVAXUSDT,0.6444444444444445,,Val
MLPClassifier,BTCUSDT,0.7777777777777778,,Val
MLPClassifier,XRPUSDT,0.4555555555555555,,Val
MLPClassifier,AVAXUSDT,0.48,,Val
MLPClassifier,BTCUSDT,0.6,,Val
MLPClassifier,XRPUSDT,0.2133333333333333,,Val
MLPClassifier,global,0.5299259259259259,,Val
MLPClassifier,global,0.5336976320582878,,Test
MLPClassifier,AVAXUSDT,0.5573770491803278,,Test
MLPClassifier,BTCUSDT,0.7568306010928961,,Test
MLPClassifier,XRPUSDT,0.2868852459016393,,Test
MLPClassifier,global,0.5454814814814816,,Val
MLPClassifier,global,0.5242962962962963,,Val
MLPClassifier,global,0.5405925925925925,,Val
MLPClassifier,global,0.5294814814814814,,Val
MLPClassifier,global,0.5352592592592592,,Val
MLPClassifier,global,0.5027322404371585,,Test
MLPClassifier,AVAXUSDT,0.5273224043715847,,Test
MLPClassifier,BTCUSDT,0.7431693989071039,,Test
MLPClassifier,XRPUSDT,0.2377049180327868,,Test
MLPClassifier,AVAXUSDT,0.5066666666666667,,Val
MLPClassifier,BTCUSDT,0.6,,Val
MLPClassifier,XRPUSDT,0.16,,Val
MLPClassifier,global,0.5222222222222221,,Val
