Model,Asset,Accuracy,IN/OUT Sample
MLPClassifier,BTCUSDT_1d,0.4997831978319783,OUT-SAMPLE
MLPClassifier,ETHUSDT_1d,0.4655826558265582,OUT-SAMPLE
MLPClassifier,XRPUSDT_1d,0.484010840108401,OUT-SAMPLE
MLPClassifier,BNBUSDT_1d,0.4990785907859078,OUT-SAMPLE
MLPClassifier,SOLUSDT_1d,0.4944715447154471,OUT-SAMPLE
MLPClassifier,ADAUSDT_1d,0.4786991869918699,OUT-SAMPLE
MLPClassifier,TRXUSDT_1d,0.52130081300813,OUT-SAMPLE
MLPClassifier,LINKUSDT_1d,0.5001626016260162,OUT-SAMPLE
MLPClassifier,AVAXUSDT_1d,0.4913279132791328,OUT-SAMPLE
MLPClassifier,BTCUSDT_1d,0.5186449864498645,OUT-SAMPLE
MLPClassifier,ETHUSDT_1d,0.4893766937669376,OUT-SAMPLE
MLPClassifier,XRPUSDT_1d,0.5344173441734417,OUT-SAMPLE
MLPClassifier,BNBUSDT_1d,0.5439566395663957,OUT-SAMPLE
MLPClassifier,SOLUSDT_1d,0.5459620596205961,OUT-SAMPLE
MLPClassifier,ADAUSDT_1d,0.5011382113821138,OUT-SAMPLE
MLPClassifier,TRXUSDT_1d,0.5601626016260163,OUT-SAMPLE
MLPClassifier,LINKUSDT_1d,0.540650406504065,OUT-SAMPLE
MLPClassifier,AVAXUSDT_1d,0.5199457994579946,OUT-SAMPLE
MLPClassifier,BTCUSDT_1d,0.4566937669376694,OUT-SAMPLE
MLPClassifier,ETHUSDT_1d,0.513550135501355,OUT-SAMPLE
MLPClassifier,XRPUSDT_1d,0.5268834688346884,OUT-SAMPLE
MLPClassifier,BNBUSDT_1d,0.5181571815718157,OUT-SAMPLE
MLPClassifier,SOLUSDT_1d,0.5468834688346884,OUT-SAMPLE
MLPClassifier,ADAUSDT_1d,0.4682384823848238,OUT-SAMPLE
MLPClassifier,TRXUSDT_1d,0.5047154471544715,OUT-SAMPLE
MLPClassifier,LINKUSDT_1d,0.5013008130081301,OUT-SAMPLE
MLPClassifier,AVAXUSDT_1d,0.5312737127371274,OUT-SAMPLE
MLPClassifier,BTCUSDT_1d,0.4495934959349593,OUT-SAMPLE
MLPClassifier,ETHUSDT_1d,0.4984823848238482,OUT-SAMPLE
MLPClassifier,XRPUSDT_1d,0.5426558265582655,OUT-SAMPLE
MLPClassifier,BNBUSDT_1d,0.5075338753387534,OUT-SAMPLE
MLPClassifier,SOLUSDT_1d,0.4924661246612466,OUT-SAMPLE
MLPClassifier,ADAUSDT_1d,0.4758265582655826,OUT-SAMPLE
MLPClassifier,TRXUSDT_1d,0.5408672086720867,OUT-SAMPLE
MLPClassifier,LINKUSDT_1d,0.4937669376693767,OUT-SAMPLE
MLPClassifier,AVAXUSDT_1d,0.4932791327913279,OUT-SAMPLE
MLPClassifier,BTCUSDT_1d,0.4946341463414634,OUT-SAMPLE
MLPClassifier,ETHUSDT_1d,0.4764769647696476,OUT-SAMPLE
MLPClassifier,XRPUSDT_1d,0.5397289972899729,OUT-SAMPLE
MLPClassifier,BNBUSDT_1d,0.5091056910569105,OUT-SAMPLE
MLPClassifier,SOLUSDT_1d,0.4508943089430895,OUT-SAMPLE
MLPClassifier,ADAUSDT_1d,0.4760433604336043,OUT-SAMPLE
MLPClassifier,TRXUSDT_1d,0.5279674796747967,OUT-SAMPLE
MLPClassifier,LINKUSDT_1d,0.4604878048780487,OUT-SAMPLE
MLPClassifier,AVAXUSDT_1d,0.48710027100271,OUT-SAMPLE
MLPClassifier,BTCUSDT_1d,0.546448087431694,FINAL-TEST
MLPClassifier,ETHUSDT_1d,0.494535519125683,FINAL-TEST
MLPClassifier,XRPUSDT_1d,0.5273224043715847,FINAL-TEST
MLPClassifier,BNBUSDT_1d,0.4808743169398907,FINAL-TEST
MLPClassifier,SOLUSDT_1d,0.505464480874317,FINAL-TEST
MLPClassifier,ADAUSDT_1d,0.5327868852459017,FINAL-TEST
MLPClassifier,TRXUSDT_1d,0.5355191256830601,FINAL-TEST
MLPClassifier,LINKUSDT_1d,0.4672131147540984,FINAL-TEST
MLPClassifier,AVAXUSDT_1d,0.5081967213114754,FINAL-TEST
