Model,Asset,Accuracy,Vald/Test
MLPClassifier,ADAUSDT_1d,0.8377777777777778,Val
MLPClassifier,AVAXUSDT_1d,0.4826666666666666,Val
MLPClassifier,BNBUSDT_1d,0.7528888888888889,Val
MLPClassifier,BTCUSDT_1d,0.9444444444444444,Val
MLPClassifier,ETHUSDT_1d,0.8337777777777777,Val
MLPClassifier,LINKUSDT_1d,0.6088888888888889,Val
MLPClassifier,SOLUSDT_1d,0.5764444444444445,Val
MLPClassifier,TRXUSDT_1d,0.952,Val
MLPClassifier,XRPUSDT_1d,0.7355555555555556,Val
MLPClassifier,global,0.7471604938271605,Val
MLPClassifier,ADAUSDT_1d,0.8377777777777778,Val
MLPClassifier,AVAXUSDT_1d,0.4946666666666666,Val
MLPClassifier,BNBUSDT_1d,0.7528888888888889,Val
MLPClassifier,BTCUSDT_1d,0.9444444444444444,Val
MLPClassifier,ETHUSDT_1d,0.8337777777777777,Val
MLPClassifier,LINKUSDT_1d,0.6115555555555556,Val
MLPClassifier,SOLUSDT_1d,0.5599999999999999,Val
MLPClassifier,TRXUSDT_1d,0.952,Val
MLPClassifier,XRPUSDT_1d,0.7377777777777779,Val
MLPClassifier,global,0.7472098765432098,Val
MLPClassifier,ADAUSDT_1d,0.8355555555555556,Val
MLPClassifier,AVAXUSDT_1d,0.5142222222222221,Val
MLPClassifier,BNBUSDT_1d,0.7528888888888889,Val
MLPClassifier,BTCUSDT_1d,0.9444444444444444,Val
MLPClassifier,ETHUSDT_1d,0.8337777777777777,Val
MLPClassifier,LINKUSDT_1d,0.5804444444444445,Val
MLPClassifier,SOLUSDT_1d,0.5706666666666667,Val
MLPClassifier,TRXUSDT_1d,0.952,Val
MLPClassifier,XRPUSDT_1d,0.7226666666666667,Val
MLPClassifier,global,0.7451851851851852,Val
MLPClassifier,ADAUSDT_1d,0.8377777777777778,Val
MLPClassifier,AVAXUSDT_1d,0.5279999999999999,Val
MLPClassifier,BNBUSDT_1d,0.7528888888888889,Val
MLPClassifier,BTCUSDT_1d,0.9444444444444444,Val
MLPClassifier,ETHUSDT_1d,0.8337777777777777,Val
MLPClassifier,LINKUSDT_1d,0.5928888888888889,Val
MLPClassifier,SOLUSDT_1d,0.5128888888888888,Val
MLPClassifier,TRXUSDT_1d,0.952,Val
MLPClassifier,XRPUSDT_1d,0.7333333333333332,Val
MLPClassifier,global,0.7431111111111111,Val
MLPClassifier,ADAUSDT_1d,0.8377777777777778,Val
MLPClassifier,AVAXUSDT_1d,0.5231111111111112,Val
MLPClassifier,BNBUSDT_1d,0.7417777777777779,Val
MLPClassifier,BTCUSDT_1d,0.9444444444444444,Val
MLPClassifier,ETHUSDT_1d,0.8262222222222222,Val
MLPClassifier,LINKUSDT_1d,0.5906666666666667,Val
MLPClassifier,SOLUSDT_1d,0.5591111111111111,Val
MLPClassifier,TRXUSDT_1d,0.952,Val
MLPClassifier,XRPUSDT_1d,0.7333333333333334,Val
MLPClassifier,global,0.7453827160493828,Val
MLPClassifier,global,0.7571341833636915,Test
MLPClassifier,ADAUSDT_1d,0.8306010928961749,Test
MLPClassifier,AVAXUSDT_1d,0.5300546448087432,Test
MLPClassifier,BNBUSDT_1d,0.7349726775956285,Test
MLPClassifier,BTCUSDT_1d,0.9562841530054644,Test
MLPClassifier,ETHUSDT_1d,0.8169398907103825,Test
MLPClassifier,LINKUSDT_1d,0.6147540983606558,Test
MLPClassifier,SOLUSDT_1d,0.6038251366120219,Test
MLPClassifier,TRXUSDT_1d,0.9672131147540984,Test
MLPClassifier,XRPUSDT_1d,0.7595628415300546,Test
