Model,Asset,Accuracy,IN/OUT Sample
MLPClassifier,ETHUSDT,0.8109767529058868,OUT-SAMPLE
MLPClassifier,ETHUSDT,0.8121672290963631,OUT-SAMPLE
MLPClassifier,ETHUSDT,0.8099784401949757,OUT-SAMPLE
MLPClassifier,ETHUSDT,0.81176415448069,OUT-SAMPLE
MLPClassifier,ETHUSDT,0.8111689163854517,OUT-SAMPLE
MLPClassifier,AVAXUSDT,0.8110946239013811,FINAL-TEST
MLPClassifier,ETHUSDT,0.8092683483620591,FINAL-TEST
MLPClassifier,ETHUSDT,0.8110714285714286,OUT-SAMPLE
MLPClassifier,ETHUSDT,0.8096428571428571,OUT-SAMPLE
MLPClassifier,ETHUSDT,0.8104761904761905,OUT-SAMPLE
MLPClassifier,ETHUSDT,0.8116666666666668,OUT-SAMPLE
MLPClassifier,ETHUSDT,0.8104761904761905,OUT-SAMPLE
MLPClassifier,AVAXUSDT,0.8108663394589659,FINAL-TEST
MLPClassifier,ETHUSDT,0.809610775025682,FINAL-TEST
MLPClassifier,AVAXUSDT,0.8114285714285714,OUT-SAMPLE
MLPClassifier,AVAXUSDT,0.8126190476190475,OUT-SAMPLE
MLPClassifier,AVAXUSDT,0.8114285714285714,OUT-SAMPLE
MLPClassifier,AVAXUSDT,0.8114285714285714,OUT-SAMPLE
MLPClassifier,AVAXUSDT,0.8114285714285714,OUT-SAMPLE
MLPClassifier,ETHUSDT,0.8104761904761905,OUT-SAMPLE
MLPClassifier,ETHUSDT,0.8116666666666668,OUT-SAMPLE
MLPClassifier,ETHUSDT,0.8104761904761905,OUT-SAMPLE
MLPClassifier,ETHUSDT,0.8092857142857144,OUT-SAMPLE
MLPClassifier,ETHUSDT,0.8104761904761905,OUT-SAMPLE
MLPClassifier,AVAXUSDT,0.8112087661225887,FINAL-TEST
MLPClassifier,ETHUSDT,0.8076703572651523,FINAL-TEST
MLPClassifier,AVAXUSDT,0.8126190476190475,OUT-SAMPLE
MLPClassifier,AVAXUSDT,0.8114285714285714,OUT-SAMPLE
MLPClassifier,AVAXUSDT,0.8126190476190475,OUT-SAMPLE
MLPClassifier,AVAXUSDT,0.8114285714285714,OUT-SAMPLE
MLPClassifier,ETHUSDT,0.8110714285714286,OUT-SAMPLE
MLPClassifier,ETHUSDT,0.8110714285714286,OUT-SAMPLE
MLPClassifier,ETHUSDT,0.8110714285714286,OUT-SAMPLE
MLPClassifier,AVAXUSDT,0.8114285714285714,OUT-SAMPLE
MLPClassifier,ETHUSDT,0.8104761904761905,OUT-SAMPLE
MLPClassifier,ETHUSDT,0.8092857142857144,OUT-SAMPLE
MLPClassifier,AVAXUSDT,0.8112087661225887,FINAL-TEST
MLPClassifier,ETHUSDT,0.809610775025682,FINAL-TEST
