Model,Asset,Accuracy,IN/OUT Sample
OLS,BTCUSDT_4h,0.5230865224625624,IN-SAMPLE
OLS,LTCBTC_4h,0.4979201331114808,IN-SAMPLE
OLS,BNBUSDT_4h,0.5085274542429284,IN-SAMPLE
OLS,BNBBTC_4h,0.4967762063227953,IN-SAMPLE
OLS,LTCUSDT_4h,0.5211106489184693,IN-SAMPLE
OLS,ADABTC_4h,0.4814891846921797,IN-SAMPLE
OLS,ADAUSDT_4h,0.5258943427620633,IN-SAMPLE
OLS,SOLUSDT_4h,0.5213186356073212,IN-SAMPLE
OLS,SOLBTC_4h,0.5107113144758736,IN-SAMPLE
MLP,BTCUSDT_4h,0.572171381031614,IN-SAMPLE
MLP,LTCBTC_4h,0.5523086522462562,IN-SAMPLE
MLP,BNBUSDT_4h,0.5441971713810316,IN-SAMPLE
MLP,BNBBTC_4h,0.5327579034941764,IN-SAMPLE
MLP,LTCUSDT_4h,0.5512687188019967,IN-SAMPLE
MLP,ADABTC_4h,0.5497088186356073,IN-SAMPLE
MLP,ADAUSDT_4h,0.5578202995008319,IN-SAMPLE
MLP,SOLUSDT_4h,0.5910981697171381,IN-SAMPLE
MLP,SOLBTC_4h,0.5177828618968386,IN-SAMPLE
OLS,BTCUSDT_4h,0.5233887733887734,OUT-SAMPLE
OLS,LTCBTC_4h,0.4942827442827442,OUT-SAMPLE
OLS,BNBUSDT_4h,0.5025987525987526,OUT-SAMPLE
OLS,BNBBTC_4h,0.5025987525987526,OUT-SAMPLE
OLS,LTCUSDT_4h,0.5114345114345115,OUT-SAMPLE
OLS,ADABTC_4h,0.4527027027027027,OUT-SAMPLE
OLS,ADAUSDT_4h,0.5124740124740125,OUT-SAMPLE
OLS,SOLUSDT_4h,0.5176715176715176,OUT-SAMPLE
OLS,SOLBTC_4h,0.510914760914761,OUT-SAMPLE
MLP,BTCUSDT_4h,0.488045738045738,OUT-SAMPLE
MLP,LTCBTC_4h,0.4833679833679833,OUT-SAMPLE
MLP,BNBUSDT_4h,0.4823284823284823,OUT-SAMPLE
MLP,BNBBTC_4h,0.4797297297297297,OUT-SAMPLE
MLP,LTCUSDT_4h,0.5244282744282744,OUT-SAMPLE
MLP,ADABTC_4h,0.4672557172557172,OUT-SAMPLE
MLP,ADAUSDT_4h,0.4802494802494803,OUT-SAMPLE
MLP,SOLUSDT_4h,0.4958419958419958,OUT-SAMPLE
MLP,SOLBTC_4h,0.4901247401247401,OUT-SAMPLE
DNN,BTCUSDT_4h,0.514033264033264,OUT-SAMPLE
DNN,LTCBTC_4h,0.5046777546777547,OUT-SAMPLE
DNN,BNBUSDT_4h,0.5031185031185031,OUT-SAMPLE
DNN,BNBBTC_4h,0.4932432432432432,OUT-SAMPLE
DNN,LTCUSDT_4h,0.4974012474012474,OUT-SAMPLE
DNN,ADABTC_4h,0.5062370062370062,OUT-SAMPLE
DNN,ADAUSDT_4h,0.4916839916839917,OUT-SAMPLE
DNN,SOLUSDT_4h,0.4937629937629937,OUT-SAMPLE
DNN,SOLBTC_4h,0.502079002079002,OUT-SAMPLE
