Model,Asset,Accuracy,IN/OUT Sample
MLPClassifier,BTCUSDT_4h,0.5222222222222223,OUT-SAMPLE
MLPClassifier,ETHUSDT_4h,0.4944444444444444,OUT-SAMPLE
MLPClassifier,XRPUSDT_4h,0.48,OUT-SAMPLE
MLPClassifier,BNBUSDT_4h,0.5044444444444445,OUT-SAMPLE
MLPClassifier,SOLUSDT_4h,0.5233333333333333,OUT-SAMPLE
MLPClassifier,ADAUSDT_4h,0.4888888888888888,OUT-SAMPLE
MLPClassifier,TRXUSDT_4h,0.5399999999999999,OUT-SAMPLE
MLPClassifier,LINKUSDT_4h,0.4788888888888888,OUT-SAMPLE
MLPClassifier,AVAXUSDT_4h,0.5077777777777778,OUT-SAMPLE
MLPClassifier,BTCUSDT_4h,0.5233333333333333,OUT-SAMPLE
MLPClassifier,ETHUSDT_4h,0.4944444444444444,OUT-SAMPLE
MLPClassifier,XRPUSDT_4h,0.4877777777777778,OUT-SAMPLE
MLPClassifier,BNBUSDT_4h,0.531111111111111,OUT-SAMPLE
MLPClassifier,SOLUSDT_4h,0.5366666666666666,OUT-SAMPLE
MLPClassifier,ADAUSDT_4h,0.4833333333333333,OUT-SAMPLE
MLPClassifier,TRXUSDT_4h,0.5355555555555556,OUT-SAMPLE
MLPClassifier,LINKUSDT_4h,0.4666666666666666,OUT-SAMPLE
MLPClassifier,AVAXUSDT_4h,0.5,OUT-SAMPLE
MLPClassifier,BTCUSDT_4h,0.5455555555555556,OUT-SAMPLE
MLPClassifier,ETHUSDT_4h,0.5033333333333333,OUT-SAMPLE
MLPClassifier,XRPUSDT_4h,0.4822222222222223,OUT-SAMPLE
MLPClassifier,BNBUSDT_4h,0.5211111111111111,OUT-SAMPLE
MLPClassifier,SOLUSDT_4h,0.5555555555555556,OUT-SAMPLE
MLPClassifier,ADAUSDT_4h,0.4888888888888888,OUT-SAMPLE
MLPClassifier,TRXUSDT_4h,0.5422222222222223,OUT-SAMPLE
MLPClassifier,LINKUSDT_4h,0.5088888888888888,OUT-SAMPLE
MLPClassifier,AVAXUSDT_4h,0.5277777777777779,OUT-SAMPLE
MLPClassifier,BTCUSDT_4h,0.5322222222222223,OUT-SAMPLE
MLPClassifier,ETHUSDT_4h,0.4522222222222222,OUT-SAMPLE
MLPClassifier,XRPUSDT_4h,0.5122222222222221,OUT-SAMPLE
MLPClassifier,BNBUSDT_4h,0.5255555555555556,OUT-SAMPLE
MLPClassifier,SOLUSDT_4h,0.5811111111111111,OUT-SAMPLE
MLPClassifier,ADAUSDT_4h,0.5144444444444444,OUT-SAMPLE
MLPClassifier,TRXUSDT_4h,0.5133333333333333,OUT-SAMPLE
MLPClassifier,LINKUSDT_4h,0.4877777777777778,OUT-SAMPLE
MLPClassifier,AVAXUSDT_4h,0.5155555555555555,OUT-SAMPLE
MLPClassifier,BTCUSDT_4h,0.5133333333333333,OUT-SAMPLE
MLPClassifier,ETHUSDT_4h,0.4888888888888889,OUT-SAMPLE
MLPClassifier,XRPUSDT_4h,0.5177777777777777,OUT-SAMPLE
MLPClassifier,BNBUSDT_4h,0.5377777777777777,OUT-SAMPLE
MLPClassifier,SOLUSDT_4h,0.4966666666666667,OUT-SAMPLE
MLPClassifier,ADAUSDT_4h,0.5255555555555556,OUT-SAMPLE
MLPClassifier,TRXUSDT_4h,0.5444444444444445,OUT-SAMPLE
MLPClassifier,LINKUSDT_4h,0.5444444444444445,OUT-SAMPLE
MLPClassifier,AVAXUSDT_4h,0.5144444444444445,OUT-SAMPLE
MLPClassifier,BTCUSDT_4h,0.521223185759927,FINAL-TEST
MLPClassifier,ETHUSDT_4h,0.5180282975810132,FINAL-TEST
MLPClassifier,XRPUSDT_4h,0.5385668644454586,FINAL-TEST
MLPClassifier,BNBUSDT_4h,0.5116385212231858,FINAL-TEST
MLPClassifier,SOLUSDT_4h,0.5107256960292104,FINAL-TEST
MLPClassifier,ADAUSDT_4h,0.5143769968051118,FINAL-TEST
MLPClassifier,TRXUSDT_4h,0.4609767229575536,FINAL-TEST
MLPClassifier,LINKUSDT_4h,0.4993153811045185,FINAL-TEST
MLPClassifier,AVAXUSDT_4h,0.5221360109539023,FINAL-TEST
