Frequency,Asset,Model,Accuracy,IN/OUT Sample
1h,BTCUSDT_1h,OLS,0.5171272193298625,IN-SAMPLE
1h,ETHUSDT_1h,OLS,0.5130690161527166,IN-SAMPLE
1h,XRPUSDT_1h,OLS,0.5242023761847551,IN-SAMPLE
1h,BNBUSDT_1h,OLS,0.502763315979175,IN-SAMPLE
1h,SOLUSDT_1h,OLS,0.5209184354558803,IN-SAMPLE
1h,ADAUSDT_1h,OLS,0.5213990121479108,IN-SAMPLE
1h,TRXUSDT_1h,OLS,0.4911760779602189,IN-SAMPLE
1h,LINKUSDT_1h,OLS,0.5101321585903084,IN-SAMPLE
1h,AVAXUSDT_1h,OLS,0.5107462288079028,IN-SAMPLE
1h,BTCUSDT_1h,MLP,0.5411827526364972,IN-SAMPLE
1h,ETHUSDT_1h,MLP,0.5192898144439995,IN-SAMPLE
1h,XRPUSDT_1h,MLP,0.5068215191563209,IN-SAMPLE
1h,BNBUSDT_1h,MLP,0.511947670537979,IN-SAMPLE
1h,SOLUSDT_1h,MLP,0.5199038846615939,IN-SAMPLE
1h,ADAUSDT_1h,MLP,0.513816579895875,IN-SAMPLE
1h,TRXUSDT_1h,MLP,0.4814310505940462,IN-SAMPLE
1h,LINKUSDT_1h,MLP,0.5171272193298625,IN-SAMPLE
1h,AVAXUSDT_1h,MLP,0.5052462955546656,IN-SAMPLE
1h,BTCUSDT_1h,OLS,0.5114136964357229,OUT-SAMPLE
1h,ETHUSDT_1h,OLS,0.5123481511146709,OUT-SAMPLE
1h,XRPUSDT_1h,OLS,0.5190228273928714,OUT-SAMPLE
1h,BNBUSDT_1h,OLS,0.5016686690695501,OUT-SAMPLE
1h,SOLUSDT_1h,OLS,0.5264984648244561,OUT-SAMPLE
1h,ADAUSDT_1h,OLS,0.5187558403417434,OUT-SAMPLE
1h,TRXUSDT_1h,OLS,0.4522760646108664,OUT-SAMPLE
1h,LINKUSDT_1h,OLS,0.5042050460552663,OUT-SAMPLE
1h,AVAXUSDT_1h,OLS,0.513149112268055,OUT-SAMPLE
1h,BTCUSDT_1h,MLP,0.4909891870244293,OUT-SAMPLE
1h,ETHUSDT_1h,MLP,0.4844480042717928,OUT-SAMPLE
1h,XRPUSDT_1h,MLP,0.4784407956214123,OUT-SAMPLE
1h,BNBUSDT_1h,MLP,0.4968629021492458,OUT-SAMPLE
1h,SOLUSDT_1h,MLP,0.4749699639567481,OUT-SAMPLE
1h,ADAUSDT_1h,MLP,0.4777733279935923,OUT-SAMPLE
1h,TRXUSDT_1h,MLP,0.4560138833266586,OUT-SAMPLE
1h,LINKUSDT_1h,MLP,0.4825790949138966,OUT-SAMPLE
1h,AVAXUSDT_1h,MLP,0.4852489654251768,OUT-SAMPLE
1h,BTCUSDT_1h,DNN,0.487251368308637,OUT-SAMPLE
1h,ETHUSDT_1h,DNN,0.4961954345214257,OUT-SAMPLE
1h,XRPUSDT_1h,DNN,0.4827125884394607,OUT-SAMPLE
1h,BNBUSDT_1h,DNN,0.4716326258176478,OUT-SAMPLE
1h,SOLUSDT_1h,DNN,0.5056734748364704,OUT-SAMPLE
1h,ADAUSDT_1h,DNN,0.4947270057402216,OUT-SAMPLE
1h,TRXUSDT_1h,DNN,0.4283807235349086,OUT-SAMPLE
1h,LINKUSDT_1h,DNN,0.4887197970898411,OUT-SAMPLE
1h,AVAXUSDT_1h,DNN,0.4951274863169136,OUT-SAMPLE
