Frequency,Asset,Model,Accuracy,IN/OUT Sample
1h,BTCUSDT_1h,MLPClassifier,0.5469611822249973,IN-SAMPLE
1h,LTCBTC_1h,MLPClassifier,0.5603340618170465,IN-SAMPLE
1h,BNBUSDT_1h,MLPClassifier,0.5456863357269227,IN-SAMPLE
1h,BNBBTC_1h,MLPClassifier,0.5379852221875325,IN-SAMPLE
1h,LTCUSDT_1h,MLPClassifier,0.5648870850244563,IN-SAMPLE
1h,ADABTC_1h,MLPClassifier,0.5568997814548861,IN-SAMPLE
1h,ADAUSDT_1h,MLPClassifier,0.5425642626704131,IN-SAMPLE
1h,SOLUSDT_1h,MLPClassifier,0.5412113643459256,IN-SAMPLE
1h,SOLBTC_1h,MLPClassifier,0.5405869497346238,IN-SAMPLE
1h,BTCUSDT_1h,classification,0.5642626704131544,IN-SAMPLE
1h,LTCBTC_1h,classification,0.5619991674471849,IN-SAMPLE
1h,BNBUSDT_1h,classification,0.5518784472889999,IN-SAMPLE
1h,BNBBTC_1h,classification,0.5444635237797898,IN-SAMPLE
1h,LTCUSDT_1h,classification,0.5616349255905921,IN-SAMPLE
1h,ADABTC_1h,classification,0.5778697054844417,IN-SAMPLE
1h,ADAUSDT_1h,classification,0.55872099073785,IN-SAMPLE
1h,SOLUSDT_1h,classification,0.5571079196586534,IN-SAMPLE
1h,SOLBTC_1h,classification,0.5478717868664793,IN-SAMPLE
1h,BTCUSDT_1h,MLPClassifier,1.0,OUT-SAMPLE
1h,LTCBTC_1h,MLPClassifier,1.0,OUT-SAMPLE
1h,BNBUSDT_1h,MLPClassifier,0.95,OUT-SAMPLE
1h,BNBBTC_1h,MLPClassifier,1.0,OUT-SAMPLE
1h,LTCUSDT_1h,MLPClassifier,1.0,OUT-SAMPLE
1h,ADABTC_1h,MLPClassifier,1.0,OUT-SAMPLE
1h,ADAUSDT_1h,MLPClassifier,1.0,OUT-SAMPLE
1h,SOLUSDT_1h,MLPClassifier,1.0,OUT-SAMPLE
1h,SOLBTC_1h,MLPClassifier,1.0,OUT-SAMPLE
1h,BTCUSDT_1h,BaggingClassifier,1.0,OUT-SAMPLE
