Frequency,Asset,Model,Accuracy,Vald/Test
1d,ADAUSDT_1d,MLPClassifier,0.8377777777777778,Val
1d,AVAXUSDT_1d,MLPClassifier,0.4826666666666666,Val
1d,BNBUSDT_1d,MLPClassifier,0.7528888888888889,Val
1d,BTCUSDT_1d,MLPClassifier,0.9444444444444444,Val
1d,ETHUSDT_1d,MLPClassifier,0.8337777777777777,Val
1d,LINKUSDT_1d,MLPClassifier,0.6088888888888889,Val
1d,SOLUSDT_1d,MLPClassifier,0.5764444444444445,Val
1d,TRXUSDT_1d,MLPClassifier,0.952,Val
1d,XRPUSDT_1d,MLPClassifier,0.7355555555555556,Val
1d,global,MLPClassifier,0.7471604938271605,Val
1d,ADAUSDT_1d,MLPClassifier,0.8377777777777778,Val
1d,AVAXUSDT_1d,MLPClassifier,0.4946666666666666,Val
1d,BNBUSDT_1d,MLPClassifier,0.7528888888888889,Val
1d,BTCUSDT_1d,MLPClassifier,0.9444444444444444,Val
1d,ETHUSDT_1d,MLPClassifier,0.8337777777777777,Val
1d,LINKUSDT_1d,MLPClassifier,0.6115555555555556,Val
1d,SOLUSDT_1d,MLPClassifier,0.5599999999999999,Val
1d,TRXUSDT_1d,MLPClassifier,0.952,Val
1d,XRPUSDT_1d,MLPClassifier,0.7377777777777779,Val
1d,global,MLPClassifier,0.7472098765432098,Val
1d,ADAUSDT_1d,MLPClassifier,0.8355555555555556,Val
1d,AVAXUSDT_1d,MLPClassifier,0.5142222222222221,Val
1d,BNBUSDT_1d,MLPClassifier,0.7528888888888889,Val
1d,BTCUSDT_1d,MLPClassifier,0.9444444444444444,Val
1d,ETHUSDT_1d,MLPClassifier,0.8337777777777777,Val
1d,LINKUSDT_1d,MLPClassifier,0.5804444444444445,Val
1d,SOLUSDT_1d,MLPClassifier,0.5706666666666667,Val
1d,TRXUSDT_1d,MLPClassifier,0.952,Val
1d,XRPUSDT_1d,MLPClassifier,0.7226666666666667,Val
1d,global,MLPClassifier,0.7451851851851852,Val
1d,ADAUSDT_1d,MLPClassifier,0.8377777777777778,Val
1d,AVAXUSDT_1d,MLPClassifier,0.5279999999999999,Val
1d,BNBUSDT_1d,MLPClassifier,0.7528888888888889,Val
1d,BTCUSDT_1d,MLPClassifier,0.9444444444444444,Val
1d,ETHUSDT_1d,MLPClassifier,0.8337777777777777,Val
1d,LINKUSDT_1d,MLPClassifier,0.5928888888888889,Val
1d,SOLUSDT_1d,MLPClassifier,0.5128888888888888,Val
1d,TRXUSDT_1d,MLPClassifier,0.952,Val
1d,XRPUSDT_1d,MLPClassifier,0.7333333333333332,Val
1d,global,MLPClassifier,0.7431111111111111,Val
1d,ADAUSDT_1d,MLPClassifier,0.8377777777777778,Val
1d,AVAXUSDT_1d,MLPClassifier,0.5231111111111112,Val
1d,BNBUSDT_1d,MLPClassifier,0.7417777777777779,Val
1d,BTCUSDT_1d,MLPClassifier,0.9444444444444444,Val
1d,ETHUSDT_1d,MLPClassifier,0.8262222222222222,Val
1d,LINKUSDT_1d,MLPClassifier,0.5906666666666667,Val
1d,SOLUSDT_1d,MLPClassifier,0.5591111111111111,Val
1d,TRXUSDT_1d,MLPClassifier,0.952,Val
1d,XRPUSDT_1d,MLPClassifier,0.7333333333333334,Val
1d,global,MLPClassifier,0.7453827160493828,Val
1d,global,MLPClassifier,0.7571341833636915,Test
1d,ADAUSDT_1d,MLPClassifier,0.8306010928961749,Test
1d,AVAXUSDT_1d,MLPClassifier,0.5300546448087432,Test
1d,BNBUSDT_1d,MLPClassifier,0.7349726775956285,Test
1d,BTCUSDT_1d,MLPClassifier,0.9562841530054644,Test
1d,ETHUSDT_1d,MLPClassifier,0.8169398907103825,Test
1d,LINKUSDT_1d,MLPClassifier,0.6147540983606558,Test
1d,SOLUSDT_1d,MLPClassifier,0.6038251366120219,Test
1d,TRXUSDT_1d,MLPClassifier,0.9672131147540984,Test
1d,XRPUSDT_1d,MLPClassifier,0.7595628415300546,Test
