timestamp,BTCUSDT_1d,LTCBTC_1d,BNBUSDT_1d,BNBBTC_1d,LTCUSDT_1d,ADABTC_1d,ADAUSDT_1d,SOLUSDT_1d,SOLBTC_1d
2020-08-11,11392.08,0.004751,21.2902,0.0018693,54.1,1.201e-05,0.13685,3.2985,0.00028856
2020-08-12,11564.33,0.004718,21.4919,0.00186,54.52,1.183e-05,0.1367,3.7558,0.0003245
2020-08-13,11780.0,0.00485,21.7667,0.0018488,57.14,1.184e-05,0.13944,3.73,0.00031625
2020-08-14,11760.54,0.004828,23.1047,0.0019644,56.78,1.176e-05,0.13826,3.4099,0.0002904
2020-08-15,11852.4,0.00505,23.0881,0.0019488,59.85,1.168e-05,0.13837,3.173,0.00026777
2020-08-16,11911.0,0.005365,23.529,0.0019752,63.87,1.165e-05,0.13882,3.3885,0.00028365
2020-08-17,12281.13,0.005472,23.4961,0.0019125,67.22,1.143e-05,0.14039,3.11,0.00025311
2020-08-18,11945.01,0.005477,22.9705,0.001924,65.4,1.147e-05,0.13691,3.3407,0.00028013
2020-08-19,11754.59,0.005282,22.3761,0.0019034,62.12,1.103e-05,0.12966,2.8868,0.00024662
2020-08-20,11853.55,0.005297,23.0888,0.0019473,62.8,1.132e-05,0.13413,3.2038,0.00027059
2020-08-21,11531.34,0.005127,22.0988,0.0019154,59.2,1.067e-05,0.12315,2.9317,0.00025399
2020-08-22,11662.96,0.005163,22.2044,0.001904,60.21,1.073e-05,0.12515,3.0126,0.00025867
2020-08-23,11648.13,0.005199,21.8555,0.0018764,60.55,1.043e-05,0.12141,3.25,0.00027932
2020-08-24,11748.2,0.005281,22.5953,0.0019234,62.02,1.052e-05,0.12361,3.3405,0.00028414
2020-08-25,11318.42,0.005154,21.3882,0.0018894,58.34,9.93e-06,0.11239,3.25,0.00028744
2020-08-26,11461.43,0.00507,22.1999,0.0019382,58.1,9.98e-06,0.11435,3.5684,0.00031025
2020-08-27,11330.38,0.004951,23.1127,0.0020401,56.1,9.47e-06,0.10725,3.4501,0.00030451
2020-08-28,11526.91,0.004979,23.0811,0.0020017,57.38,9.49e-06,0.10927,4.0063,0.00034775
2020-08-29,11465.84,0.004967,22.9398,0.0020012,56.97,1.014e-05,0.11623,3.9535,0.00034504
2020-08-30,11711.16,0.00537,23.6208,0.0020175,62.89,1.002e-05,0.11747,4.4309,0.0003774
2020-08-31,11649.51,0.00523,23.1477,0.0019875,60.92,1.052e-05,0.12253,4.7435,0.00040702
2020-09-01,11921.97,0.005259,24.7028,0.002073,62.69,1.044e-05,0.12445,4.3397,0.00036304
2020-09-02,11388.54,0.005098,24.7652,0.0021701,58.06,1.009e-05,0.11489,4.17,0.000366
2020-09-03,10140.85,0.004663,20.3592,0.0020095,47.28,9.32e-06,0.09446,3.5051,0.00034408
2020-09-04,10446.25,0.004818,20.9712,0.0020118,50.32,9.73e-06,0.10156,3.5301,0.00033838
2020-09-05,10166.69,0.004705,19.4698,0.001917,47.83,8.85e-06,0.09,2.6052,0.00025711
2020-09-06,10256.2,0.004673,23.142,0.0022592,47.92,9.04e-06,0.0926,3.0941,0.00030109
2020-09-07,10373.44,0.004706,22.4426,0.0021641,48.84,9.02e-06,0.0936,2.9237,0.00028269
2020-09-08,10126.65,0.004687,23.2837,0.0022978,47.47,9e-06,0.09101,2.468,0.00024351
2020-09-09,10219.2,0.004679,24.4716,0.0023971,47.82,9.13e-06,0.09331,3.6001,0.0003533
2020-09-10,10336.87,0.004708,24.5489,0.0023751,48.67,9.4e-06,0.09709,3.4761,0.00033644
2020-09-11,10387.89,0.004713,25.399,0.0024458,48.96,9.33e-06,0.09701,3.3965,0.00032731
2020-09-12,10440.92,0.004865,28.505,0.0027298,50.8,9.36e-06,0.09771,3.3316,0.00031948
2020-09-13,10332.83,0.004662,31.1656,0.0030149,48.15,9.2e-06,0.09507,3.2603,0.00031576
2020-09-14,10671.77,0.004598,31.2523,0.00293,49.08,9.05e-06,0.09663,3.2641,0.0003058
2020-09-15,10785.31,0.004479,27.1181,0.002513,48.31,8.64e-06,0.09313,2.9295,0.00027199
2020-09-16,10954.01,0.004358,27.8695,0.0025434,47.76,8.36e-06,0.09151,2.5327,0.00023145
2020-09-17,10939.99,0.004466,27.095,0.002477,48.85,8.6e-06,0.09408,2.8829,0.0002635
2020-09-18,10933.39,0.004437,27.629,0.0025292,48.54,8.32e-06,0.09093,3.1144,0.00028471
2020-09-19,11080.65,0.004378,27.2035,0.0024538,48.52,8.25e-06,0.09141,3.031,0.000273
2020-09-20,10920.28,0.004312,26.316,0.0024115,47.09,8.18e-06,0.08936,2.8628,0.00026233
2020-09-21,10417.22,0.004143,23.1232,0.0022193,43.16,7.66e-06,0.07983,2.7672,0.00026557
2020-09-22,10529.61,0.004222,24.0468,0.002284,44.47,7.73e-06,0.08146,2.9082,0.00027666
