timestamp,BTCUSDT_1d,ETHUSDT_1d,XRPUSDT_1d,BNBUSDT_1d,SOLUSDT_1d,ADAUSDT_1d,TRXUSDT_1d,LINKUSDT_1d,AVAXUSDT_1d
2020-09-22,10529.61,344.21,0.23302,24.0468,2.9082,0.08146,0.02499,8.7401,5.3193
2020-09-23,10241.46,320.72,0.22164,22.8331,2.8548,0.07663,0.02486,7.6364,3.535
2020-09-24,10736.32,348.97,0.23276,24.5745,3.1433,0.08254,0.02625,9.87,4.6411
2020-09-25,10686.67,351.92,0.24154,24.6924,3.1937,0.09693,0.02714,10.7279,4.7134
2020-09-26,10728.6,353.92,0.24153,26.1998,3.1287,0.09547,0.02718,10.3169,4.52
2020-09-27,10774.25,357.49,0.24334,26.251,3.1578,0.1013,0.02659,10.7939,4.6484
2020-09-28,10696.12,353.96,0.24107,26.9855,2.9599,0.1003,0.02625,10.283,4.2021
2020-09-29,10840.48,359.79,0.24285,28.8946,2.9505,0.1011,0.0263,10.135,4.1394
2020-09-30,10776.59,359.83,0.24171,29.2656,2.8967,0.10136,0.02621,9.8694,4.3293
2020-10-01,10619.13,352.85,0.23819,27.4673,2.8669,0.09804,0.02581,9.6394,4.15
2020-10-02,10570.4,345.6,0.23386,27.3369,2.6232,0.09286,0.0259,9.2167,3.9115
2020-10-03,10542.06,345.95,0.23273,28.1867,2.5439,0.09328,0.02719,9.269,4.0168
2020-10-04,10666.63,352.37,0.24794,28.9668,2.5202,0.09686,0.02644,9.3922,3.964
2020-10-05,10792.21,353.62,0.2503,28.6158,2.6522,0.09738,0.02643,9.6176,3.9813
2020-10-06,10599.66,340.75,0.24545,27.6812,2.174,0.09289,0.02556,8.7689,3.5424
2020-10-07,10666.39,341.58,0.2487,27.6898,2.3005,0.09374,0.02551,8.9799,3.442
2020-10-08,10925.57,350.95,0.25141,27.7424,2.3638,0.09632,0.02572,9.5594,3.9147
2020-10-09,11050.64,365.02,0.25293,28.4076,2.5314,0.10129,0.02627,10.3959,4.2491
2020-10-10,11293.22,370.52,0.25402,28.4414,2.3999,0.10493,0.02644,10.5198,4.023
2020-10-11,11369.02,374.16,0.25544,28.5271,2.4227,0.10648,0.02656,10.8515,4.096
2020-10-12,11528.25,386.51,0.25603,30.6503,2.5836,0.10945,0.02709,11.4259,4.41
2020-10-13,11420.56,381.04,0.2565,30.7256,2.4062,0.10925,0.0268,11.0016,4.4806
2020-10-14,11417.89,378.69,0.24906,30.838,2.3107,0.10703,0.02676,10.8896,4.1596
2020-10-15,11505.12,377.64,0.24596,31.3256,2.2682,0.10666,0.02652,10.7483,4.1269
2020-10-16,11319.32,365.5,0.24011,30.0516,2.1398,0.10414,0.02572,10.5877,4.0433
2020-10-17,11360.2,368.32,0.24057,30.2414,2.2053,0.10598,0.02574,10.6267,4.1946
2020-10-18,11503.14,378.11,0.24221,30.6593,2.215,0.10735,0.02594,10.9409,4.1195
2020-10-19,11751.47,379.3,0.24558,29.9107,2.0592,0.10859,0.02589,10.9147,4.05
2020-10-20,11909.99,368.52,0.24322,28.8227,1.885,0.10238,0.02592,9.8589,3.804
2020-10-21,12780.96,390.38,0.25088,29.7329,1.8887,0.10589,0.02667,10.7863,3.9585
2020-10-22,12968.52,413.98,0.25709,30.6396,1.9582,0.11077,0.02708,11.9539,4.3385
2020-10-23,12923.07,409.11,0.25471,30.6377,1.959,0.10805,0.02669,12.1586,4.2568
2020-10-24,13111.73,412.14,0.2562,30.6639,1.9142,0.10797,0.02706,12.7001,4.1821
2020-10-25,13028.83,405.86,0.25313,30.128,1.7926,0.10639,0.02699,12.1481,4.1479
2020-10-26,13052.19,392.52,0.2481,31.0467,1.6799,0.10306,0.02675,11.7096,4.148
2020-10-27,13636.17,403.45,0.25273,31.4826,1.711,0.10256,0.02701,11.9224,4.1217
2020-10-28,13266.4,388.23,0.2454,30.3338,1.518,0.09869,0.02688,11.4403,4.0596
2020-10-29,13455.7,387.13,0.24239,29.8702,1.4327,0.09531,0.02655,11.2772,3.7758
2020-10-30,13560.1,382.49,0.23905,28.4909,1.4381,0.0933,0.0256,11.09,3.7224
2020-10-31,13791.0,386.46,0.23968,28.5058,1.5497,0.093,0.02576,11.2277,3.6456
2020-11-01,13761.5,396.67,0.23999,28.5318,1.608,0.09827,0.02574,11.5722,3.6814
2020-11-02,13549.37,383.02,0.23523,27.7983,1.4738,0.09221,0.02445,10.7814,3.617
2020-11-03,14023.53,387.88,0.2396,26.8638,1.4118,0.09357,0.02442,10.3911,3.323
2020-11-04,14144.01,402.49,0.23758,26.96,1.3912,0.0955,0.0242,10.4713,3.1718
2020-11-05,15590.02,416.69,0.24561,27.6875,1.4007,0.09752,0.02493,10.9794,3.3348
2020-11-06,15579.92,455.91,0.25863,29.0435,1.9,0.1091,0.02616,12.1687,3.5913
2020-11-07,14818.3,435.21,0.2491,27.7651,2.0215,0.10128,0.02486,11.7638,3.4126
2020-11-08,15475.1,454.3,0.25374,28.4101,2.1558,0.10655,0.02535,12.71,3.4754
2020-11-09,15328.41,444.32,0.25059,28.0941,2.0299,0.10561,0.02479,12.5107,3.4125
2020-11-10,15297.21,450.34,0.2538,28.2188,2.2661,0.1059,0.02483,13.0017,3.5713
2020-11-11,15684.24,463.09,0.25581,28.016,2.0,0.10599,0.02498,12.753,3.4842
2020-11-12,16291.86,462.39,0.2549,27.6874,1.9089,0.1046,0.0249,12.4038,3.4243
2020-11-13,16320.7,476.43,0.2659,28.1974,2.0141,0.10629,0.0254,12.8687,3.6745
2020-11-14,16070.45,460.89,0.26824,27.9311,1.9182,0.10411,0.02513,12.5574,3.4894
2020-11-15,15957.0,448.08,0.26954,27.6786,2.0407,0.10046,0.02533,12.1192,3.5453
2020-11-16,16713.57,460.55,0.28813,27.9451,2.2626,0.10387,0.02549,12.6223,3.7
2020-11-17,17659.38,482.15,0.30247,28.5552,2.1998,0.10947,0.02649,13.3944,3.8355
2020-11-18,17776.12,478.41,0.29335,28.0931,2.1153,0.10658,0.02678,13.5598,3.7445
2020-11-19,17802.82,471.25,0.30358,28.1387,2.085,0.1059,0.02581,13.6187,3.6399
2020-11-20,18655.67,510.12,0.32991,28.9715,2.1033,0.11828,0.02629,14.0933,3.715
2020-11-21,18703.8,552.35,0.46283,30.5161,2.3822,0.13334,0.03057,15.4511,4.0281
2020-11-22,18414.43,560.03,0.44611,30.0226,2.1514,0.14599,0.02875,14.5098,3.8892
2020-11-23,18368.0,608.58,0.61579,30.995,2.2786,0.15445,0.03174,15.2746,4.0747
2020-11-24,19160.01,604.97,0.694,33.9407,2.2823,0.16721,0.03523,15.6703,4.26
2020-11-25,18719.11,569.5,0.63022,31.2953,2.2661,0.15473,0.03304,14.2016,4.0453
2020-11-26,17149.47,519.83,0.53654,28.2356,1.9111,0.13843,0.02942,12.603,3.5447
2020-11-27,17139.52,518.68,0.5623,28.4606,1.861,0.14178,0.02938,12.4989,3.5942
2020-11-28,17719.85,537.52,0.62579,29.1766,1.8868,0.16489,0.03047,13.0853,3.6271
2020-11-29,18184.99,576.3,0.60543,30.1045,1.9153,0.16663,0.03072,13.38,3.7013
2020-11-30,19695.87,616.66,0.66417,31.4935,1.9665,0.17204,0.03236,14.2677,3.7024
2020-12-01,18764.96,585.26,0.61088,30.1996,1.9738,0.15562,0.03024,13.3461,3.5543
2020-12-02,19204.09,596.89,0.62972,30.2875,2.1209,0.15845,0.03118,13.9799,3.74
2020-12-03,19421.9,615.85,0.63046,30.7065,2.0967,0.16398,0.03166,13.9749,3.8123
2020-12-04,18650.52,567.24,0.55367,29.0231,1.8535,0.14781,0.02947,12.68,3.5348
2020-12-05,19147.66,596.8,0.58517,29.728,1.9795,0.15993,0.03056,13.1748,3.6382
2020-12-06,19359.4,601.54,0.62107,29.5026,1.8505,0.15873,0.03091,13.5057,3.6055
2020-12-07,19166.9,591.28,0.60818,29.37,1.8272,0.15401,0.03029,13.0704,3.3895
2020-12-08,18324.11,554.94,0.5589,27.6705,1.6631,0.1412,0.0279,12.1356,3.1172
2020-12-09,18541.28,573.09,0.58265,28.1452,1.6592,0.14796,0.0287,12.6212,3.2652
2020-12-10,18254.63,558.99,0.57267,27.6926,1.5683,0.14188,0.02811,11.9172,3.1499
2020-12-11,18036.53,544.43,0.54945,27.3419,1.4389,0.13926,0.02778,11.6335,3.2375
2020-12-12,18808.69,568.04,0.50658,28.1603,1.4912,0.14438,0.02855,12.2259,3.3332
2020-12-13,19174.99,590.7,0.51365,29.1571,1.5701,0.15406,0.02921,12.9392,3.3405
2020-12-14,19273.14,586.29,0.4974,30.0338,1.5946,0.15877,0.0291,12.8502,3.1433
2020-12-15,19426.43,588.64,0.46793,29.5053,1.7586,0.15381,0.02918,12.6818,3.3014
2020-12-16,21335.52,637.18,0.56941,30.5577,1.7829,0.16814,0.03145,13.4852,3.3409
2020-12-17,22797.16,642.7,0.5769,30.2255,1.68,0.16336,0.03072,13.444,3.2079
2020-12-18,23107.39,653.85,0.58337,30.9882,1.7014,0.16502,0.03109,13.5001,3.4081
2020-12-19,23821.61,658.03,0.57666,33.3167,1.6707,0.16433,0.03124,13.4747,3.4651
2020-12-20,23455.52,638.18,0.55586,34.3148,1.5635,0.16201,0.03122,13.0604,3.304
2020-12-21,22719.71,607.58,0.51445,32.05,1.5331,0.15278,0.02926,12.3049,3.0892
2020-12-22,23810.79,636.45,0.44642,33.5151,1.49,0.15646,0.02885,12.7842,3.0761
2020-12-23,23232.76,585.56,0.2605,31.1843,1.198,0.13635,0.0248,10.9736,2.9465
2020-12-24,23729.2,612.31,0.33863,32.4895,1.3612,0.15304,0.02769,11.5724,3.1006
